vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
0,0,0,0,0,2395.328278132918,VS1leftbutton,1,0,4,2,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
1,0,1,1,1,2406.90707035127,VS1leftbutton,1,0,1,4,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
2,0,2,2,2,2419.996151978121,VS1rightbutton,0,1,1,4,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
3,0,3,3,3,2449.1331345001527,VS1leftbutton,1,0,2,4,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
4,0,4,4,4,2463.588065004791,VS1leftbutton,1,0,1,2,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
5,0,5,5,5,2471.0186254525906,VS1rightbutton,0,1,4,2,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
6,0,6,6,6,2497.480759248894,VS1rightbutton,0,1,4,3,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
7,0,7,7,7,2517.880984644493,VS1rightbutton,0,1,4,1,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
8,0,8,8,8,2526.4878165755945,VS1rightbutton,0,1,4,3,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
9,0,9,9,9,2536.6194288695115,VS1rightbutton,0,1,2,1,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
10,0,10,10,10,2543.7072574431077,VS1leftbutton,1,0,1,3,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
11,0,11,11,11,2550.8813304692158,VS1rightbutton,0,1,3,2,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
12,0,12,12,12,2555.5685512510536,VS1rightbutton,0,1,3,2,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
13,0,13,13,13,2560.898020522378,VS1leftbutton,1,0,1,3,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
14,0,14,14,14,2563.7172385606973,VS1rightbutton,0,1,4,3,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
15,0,15,15,15,2571.200241179089,VS1rightbutton,0,1,2,1,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
16,0,16,16,16,2573.8182418373763,VS1rightbutton,0,1,3,2,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
17,0,17,17,17,2579.967934861779,VS1leftbutton,1,0,1,3,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
