Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
0,0,0,0,0,2617.5227679708623,EDrightbutton,0,1,1.00,2.00,1,4,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
1,0,1,1,1,2638.64162773735,EDleftbutton,1,0,1.50,2.00,1,4,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
2,0,2,2,2,2642.600328629749,EDrightbutton,0,1,1.25,2.00,1,4,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
3,0,3,3,3,2648.081214274687,EDrightbutton,0,1,1.38,2.00,1,4,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
4,0,4,4,4,2655.358206407982,EDrightbutton,0,1,1.44,2.00,1,4,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
5,0,5,5,5,2657.868385781301,EDrightbutton,0,1,1.47,2.00,1,4,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
0,0,0,0,0,2663.435375046596,EDrightbutton,0,1,1.00,2.00,1,3,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
1,0,1,1,1,2667.5507027813,EDleftbutton,1,0,1.50,2.00,1,3,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
2,0,2,2,2,2674.136798381631,EDrightbutton,0,1,1.25,2.00,1,3,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
