Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2807.627533936058,2809.628013856098,None,0,3,3.0,,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
P,left,Pretarget,0,1,1,1,2811.1278624374827,2813.127980492689,None,0,3,3.0,,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
B,left,Distractor,0,2,2,2,2814.6278457557783,2816.628116191976,None,0,3,3.0,,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
K,left,Pretarget,0,3,3,3,2818.128079620539,2820.128114267165,None,0,3,3.0,,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
H,left,Distractor,0,4,4,4,2821.6277751792804,2823.629501094896,left,1,3,3.0,0.7245268649421632,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
P,right,Target,0,5,5,5,2825.1278021266626,2827.127941354818,right,1,3,3.0,1.0339283571811393,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
L,left,Distractor,0,6,6,6,2828.6278406229394,2830.6283567936043,None,0,3,3.0,,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
K,right,Target,0,7,7,7,2832.12778223693,2834.128008723259,right,1,3,3.0,1.0099849672114942,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
Z,left,Pretarget,0,8,8,8,2835.6273151490022,2837.6284982673533,left,1,3,3.0,0.8534129821055103,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
S,left,Pretarget,0,9,9,9,2839.127774858498,2841.129041064618,left,1,3,3.0,0.6652737436816096,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
N,left,Distractor,0,10,10,10,2842.6277953898243,2844.6282297559665,left,1,3,3.0,0.8297955270973034,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
M,left,Distractor,0,11,11,11,2846.127833244478,2848.128025084181,left,1,3,3.0,0.689859058795264,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
Z,right,Target,0,12,12,12,2849.627499610244,2851.627950978873,right,1,3,3.0,0.8539936339948326,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
S,right,Target,0,13,13,13,2853.1279683022003,2855.1280327834247,right,1,3,3.0,0.7141088148055132,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
Q,left,Distractor,0,14,14,14,2856.627813033934,2858.62815950028,left,1,3,3.0,0.7661894413759001,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
V,left,Lure,0,15,15,15,2860.1279224274913,2862.1280825077556,left,1,3,3.0,1.0259801628708374,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
Z,right,Target,0,16,16,16,2863.6282166030724,2865.6279984575813,right,1,3,3.0,0.7260285398224369,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
X,left,Distractor,0,17,17,17,2867.1278845728375,2869.127953545307,left,1,3,3.0,1.130089446058264,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
V,left,Pretarget,0,18,18,18,2870.6278787983756,2872.6280305378023,left,1,3,3.0,0.9100040869961958,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
E,left,Distractor,0,19,19,19,2874.1282541369146,2876.1312058375916,left,1,3,3.0,0.6387780517397914,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
R,left,Distractor,0,20,20,20,2877.6278034098796,2879.628143780981,left,1,3,3.0,0.6777978600002825,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
G,left,Distractor,0,21,21,21,2881.12811875841,2883.128580071905,left,1,3,3.0,0.6814354356611148,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
V,right,Target,0,22,22,22,2884.6278236204234,2886.627869174321,right,1,3,3.0,0.7503286617866252,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
T,left,Pretarget,0,23,23,23,2888.1280773749168,2890.144441813871,left,1,3,3.0,0.7214516554377042,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
B,left,Distractor,0,24,24,24,2891.6280789789453,2893.6281203624094,left,1,3,3.0,0.6778129376762081,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
S,left,Pretarget,0,25,25,25,2895.1281059263274,2897.1277241717617,left,1,3,3.0,0.7304719705425669,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
G,left,Lure,0,26,26,26,2898.6277985978522,2900.6282108286105,left,1,3,3.0,0.7979392310953699,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
T,right,Target,0,27,27,27,2902.1277607431985,2904.1282660065917,right,1,3,3.0,0.673627431911882,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
H,left,Distractor,0,28,28,28,2905.627816241962,2907.6295097565744,left,1,3,3.0,0.5966246479947586,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
S,right,Target,0,29,29,29,2909.127917615464,2911.1289400119276,right,1,3,3.0,0.42506895642145537,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
D,left,Distractor,0,30,30,30,2912.62793461798,2914.629214618588,left,1,3,3.0,0.8129287119954824,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
Z,left,Distractor,0,31,31,31,2916.128234567994,2918.1276160614216,left,1,3,3.0,1.0264010553073604,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
J,left,Pretarget,0,32,32,32,2919.628035029047,2921.629837616376,left,1,3,3.0,0.7243003786134068,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
C,left,Pretarget,0,33,33,33,2923.128101755894,2925.1289432199555,left,1,3,3.0,0.9050338991801254,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
H,left,Distractor,0,34,34,34,2926.628228151938,2928.628071600484,left,1,3,3.0,0.7500101052573882,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
B,left,Pretarget,0,35,35,35,2930.127795069013,2932.1281264576537,left,1,3,3.0,0.5777451201283839,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
J,right,Target,0,36,36,36,2933.627816241962,2935.62925215243,left,0,3,3.0,1.07673298928421,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
C,right,Target,0,37,37,37,2937.1281983173394,2939.128057805996,right,1,3,3.0,0.8419914628320839,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
H,left,Distractor,0,38,38,38,2940.628138968954,2942.628222377505,right,0,3,3.0,0.7177358040062245,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
B,right,Target,0,39,39,39,2944.1279907583375,2946.128213074233,left,0,3,3.0,0.6098420177586377,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
F,left,Pretarget,0,40,40,40,2947.6278630790766,2949.628357114416,left,1,3,3.0,0.7097263364994433,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
M,left,Distractor,0,41,41,41,2951.1278348485066,2953.1282002421503,left,1,3,3.0,0.6496724930766504,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
W,left,Pretarget,0,42,42,42,2954.627815600368,2956.629922308144,left,1,3,3.0,0.7000535097904503,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
Z,left,Distractor,0,43,43,43,2958.1280007032037,2960.129770889529,left,1,3,3.0,0.7202216999721713,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
F,right,Target,0,44,44,44,2961.628243871237,2963.6280818661617,right,1,3,3.0,0.7580388209025841,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
B,left,Lure,0,45,45,45,2965.127909274597,2967.1283587184153,left,1,3,3.0,0.5855470286333002,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
W,right,Target,0,46,46,46,2968.627909274597,2970.628299690812,left,0,3,3.0,0.7499324711388908,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
X,left,Distractor,0,47,47,47,2972.1282403424266,2974.1285258563585,left,1,3,3.0,0.6415311758755706,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
T,left,Distractor,0,48,48,48,2975.6279378259787,2977.6276231190714,left,1,3,3.0,0.5985565186128952,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
L,left,Pretarget,0,49,49,49,2979.1278938760806,2981.128175219579,left,1,3,3.0,1.0018468580383342,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
J,left,Distractor,0,50,50,50,2982.6281033598934,2984.628038237075,left,1,3,3.0,0.6539497482881416,W17L05,2022-12-01_12h24.00.790,t1_Paradigm,2021.1.4,60.2453736270178,
