vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
0,0,0,0,0,5034.45176738553,VS1rightbutton,0,1,4,1,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
1,0,1,1,1,5038.301113989422,VS1leftbutton,1,0,1,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
2,0,2,2,2,5042.336754593503,VS1leftbutton,1,0,1,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
3,0,3,3,3,5044.711157378071,VS1rightbutton,0,1,2,1,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
4,0,4,4,4,5047.097346796378,VS1leftbutton,1,0,1,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
5,0,5,5,5,5049.747670246288,VS1leftbutton,1,0,3,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
6,0,6,6,6,5053.109376278197,VS1rightbutton,0,1,3,1,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
7,0,7,7,7,5055.692616551838,VS1leftbutton,1,0,3,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
8,0,8,8,8,5057.828322760193,VS1rightbutton,0,1,4,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
9,0,9,9,9,5059.993810742104,VS1leftbutton,1,0,1,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
10,0,10,10,10,5062.1413196243375,VS1leftbutton,1,0,4,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
11,0,11,11,11,5064.377887670722,VS1rightbutton,0,1,4,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
12,0,12,12,12,5066.322248189463,VS1leftbutton,1,0,3,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
13,0,13,13,13,5068.792058514518,VS1rightbutton,0,1,2,1,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
14,0,14,14,14,5070.556660437738,VS1rightbutton,0,1,4,1,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
15,0,15,15,15,5072.149389110331,VS1leftbutton,1,0,2,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
16,0,16,16,16,5075.320691331086,VS1rightbutton,0,1,4,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
17,0,17,17,17,5077.1491529991035,VS1leftbutton,1,0,2,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
