Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
0,0,0,0,0,5089.69609662595,EDrightbutton,0,1,1.00,2.00,2,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
1,0,1,1,1,5091.908848556792,EDleftbutton,1,0,1.50,2.00,2,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
2,0,2,2,2,5093.838398229171,EDleftbutton,1,0,1.25,2.00,2,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
3,0,3,3,3,5095.456601570331,EDleftbutton,1,0,1.12,2.00,2,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
4,0,4,4,4,5096.927747720285,EDrightbutton,0,1,1.06,2.00,2,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
5,0,5,5,5,5098.911307514019,EDrightbutton,0,1,1.09,2.00,2,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
0,0,0,0,0,5100.955011829617,EDleftbutton,1,0,2.00,1.00,2,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
1,0,1,1,1,5102.851292917461,EDleftbutton,1,0,2.00,1.50,2,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
2,0,2,2,2,5104.184689983711,EDleftbutton,1,0,2.00,1.75,2,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
3,0,3,3,3,5105.788096914679,EDrightbutton,0,1,2.00,1.88,2,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
4,0,4,4,4,5107.684039555039,EDrightbutton,0,1,2.00,1.82,2,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
5,0,5,5,5,5109.243811784705,EDleftbutton,1,0,2.00,1.79,2,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
0,0,0,0,0,5111.086424085908,EDrightbutton,0,1,1.00,2.00,1,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
1,0,1,1,1,5112.64725817446,EDleftbutton,1,0,1.50,2.00,1,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
2,0,2,2,2,5114.647802256848,EDleftbutton,1,0,1.25,2.00,1,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
3,0,3,3,3,5116.176422882898,EDrightbutton,0,1,1.12,2.00,1,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
4,0,4,4,4,5117.968859624496,EDleftbutton,1,0,1.18,2.00,1,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
5,0,5,5,5,5119.386222781846,EDrightbutton,0,1,1.15,2.00,1,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
0,0,0,0,0,5120.7020237875695,EDrightbutton,0,1,1.00,2.00,1,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
1,0,1,1,1,5121.952428079909,EDrightbutton,0,1,1.50,2.00,1,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
2,0,2,2,2,5123.157387057188,EDleftbutton,1,0,1.75,2.00,1,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
3,0,3,3,3,5124.682996623538,EDrightbutton,0,1,1.62,2.00,1,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
4,0,4,4,4,5126.040405174557,EDleftbutton,1,0,1.68,2.00,1,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
5,0,5,5,5,5127.45084924651,EDleftbutton,1,0,1.65,2.00,1,2,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
0,0,0,0,0,5128.765951221852,EDrightbutton,0,1,1.00,2.00,1,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
1,0,1,1,1,5130.667210214378,EDrightbutton,0,1,1.50,2.00,1,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
2,0,2,2,2,5132.305394467752,EDrightbutton,0,1,1.75,2.00,1,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
3,0,3,3,3,5134.255009744404,EDrightbutton,0,1,1.88,2.00,1,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
4,0,4,4,4,5135.872792191643,EDleftbutton,1,0,1.94,2.00,1,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
5,0,5,5,5,5137.83205723131,EDrightbutton,0,1,1.91,2.00,1,3,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
0,0,0,0,0,5139.5638374489645,EDleftbutton,1,0,1.00,2.00,3,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
1,0,1,1,1,5141.961502642618,EDleftbutton,1,0,0.50,2.00,3,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
2,0,2,2,2,5143.139337059998,EDleftbutton,1,0,0.25,2.00,3,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
3,0,3,3,3,5144.189321420839,EDrightbutton,0,1,0.12,2.00,3,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
4,0,4,4,4,5146.01140038656,EDrightbutton,0,1,0.18,2.00,3,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
5,0,5,5,5,5147.269682324535,EDrightbutton,0,1,0.21,2.00,3,4,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
