Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,3039.088454449942,3041.1040400362544,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
Q,left,Pretarget,0,1,1,1,3042.5973443903495,3044.6009027404652,left,1,1,0.9100688925100258,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
Q,right,Target,0,2,2,2,3046.0968543633207,3048.0965056501445,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
T,left,Distractor,0,3,3,3,3049.5961548517516,3051.597498375937,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
Q,left,Lure,0,4,4,4,3053.095694017815,3055.0973195280967,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
L,left,Distractor,0,5,5,5,3056.5947879089217,3058.597616110739,left,1,1,1.2856034710857784,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
V,left,Pretarget,0,6,6,6,3060.0944303736615,3062.0968890100776,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
V,right,Target,0,7,7,7,3063.5938187621796,3065.5933552014176,right,1,1,1.1356269699317636,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
K,left,Distractor,0,8,8,8,3067.0932915219746,3069.095022897338,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
G,left,Pretarget,0,9,9,9,3070.5926276195532,3072.59168894912,left,1,1,0.5881382983061485,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
G,right,Target,0,10,10,10,3074.0923599092057,3076.091935807257,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
G,right,Target,0,11,11,11,3077.591528868288,3079.5913286870345,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
P,left,Pretarget,0,12,12,12,3081.091097227458,3083.092486947309,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
P,right,Target,0,13,13,13,3084.5905330948735,3086.5901343363803,right,1,1,1.0068793057871517,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
G,left,Lure,0,14,14,14,3088.0899003103696,3090.0920397475275,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
Y,left,Distractor,0,15,15,15,3091.5888966772764,3093.5884122643038,left,1,1,1.0055579170148121,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
B,left,Distractor,0,16,16,16,3095.08882690256,3097.0904168036795,None,0,1,,W19A12,2022-12-09_12h42.14.434,t1_Paradigm,2021.1.4,59.87531957832585,
