Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2635.3679707479946,2637.357784323563,left,1,0.7332823685965195,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
T,left,Pretarget,0,1,1,1,2638.855848283774,2640.8564189904487,left,1,0.5001068270512405,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
B,left,Distractor,0,2,2,2,2642.3550767550755,2644.3560911308527,right,0,0.7968704486229399,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
T,right,Target,0,3,3,3,2645.854436755178,2647.8548512313023,right,1,0.8938799969719184,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
Z,left,Distractor,0,4,4,4,2649.3538885046396,2651.3551306498034,left,1,0.553349044074821,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
T,right,Target,0,5,5,5,2652.853380033543,2654.8552827099297,right,1,0.43321288289280346,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
L,left,Distractor,0,6,6,6,2656.3526819684917,2658.354248444431,left,1,0.6941410014414942,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
T,right,Target,0,7,7,7,2659.8521972367403,2661.8537364445133,right,1,0.8029108286054907,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
Z,left,Lure,0,8,8,8,2663.351343582742,2665.351633587708,left,1,0.9624722666712842,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
J,left,Distractor,0,9,9,9,2666.8510089863044,2668.851880605212,left,1,0.7930763239173757,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
D,left,Pretarget,0,10,10,10,2670.350447262084,2672.3511042644845,left,1,0.7553564302179439,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
H,left,Distractor,0,11,11,11,2673.849719362451,2675.851560765664,left,1,0.9815516420567292,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
D,right,Target,0,12,12,12,2677.3493080943467,2679.3507526655435,right,1,0.3968442070226956,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
S,left,Distractor,0,13,13,13,2680.848544264895,2682.849861477717,left,1,0.4243350096303402,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
R,left,Pretarget,0,14,14,14,2684.3479116434423,2686.348850630761,left,1,0.5171840774446537,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
Z,left,Distractor,0,15,15,15,2687.8475006961403,2689.8481958739735,left,1,0.5652151875347045,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
R,right,Target,0,16,16,16,2691.3467968566542,2693.3492506707967,right,1,0.419420002899642,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
T,left,Distractor,0,17,17,17,2694.846222941959,2696.8471985007004,left,1,0.5504438615826075,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
M,left,Distractor,0,18,18,18,2698.345727944545,2700.3468106511377,left,1,0.6638483145707141,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
R,left,Lure,0,19,19,19,2701.845075433371,2703.843965779414,left,1,1.0686913975023344,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
J,left,Distractor,0,20,20,20,2705.343986952343,2707.3454135586303,left,1,0.8084703264603377,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
K,left,Distractor,0,21,21,21,2708.8439763658785,2710.8457516838894,left,1,0.6508320961074787,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
Z,left,Distractor,0,22,22,22,2712.3432786216295,2714.3450164058117,left,1,0.7315368851668609,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
W,left,Pretarget,0,23,23,23,2715.8428840352267,2717.8441483157253,left,1,1.0531934551263475,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
Q,left,Distractor,0,24,24,24,2719.3420810679368,2721.342891092869,left,1,0.6769485831464408,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
W,right,Target,0,25,25,25,2722.84166274219,2724.843051493847,right,1,0.44205899676217086,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
D,left,Pretarget,0,26,26,26,2726.3409419001996,2728.342020436368,left,1,0.575987396333403,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
W,right,Target,0,27,27,27,2729.8570769552557,2731.8582696969193,right,1,0.5904000657001234,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
D,right,Target,0,28,28,28,2733.356616925254,2735.358326799667,right,1,0.8131354284696499,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
L,left,Pretarget,0,29,29,29,2736.8558717023166,2738.857241205856,left,1,0.45714599183611426,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
P,left,Distractor,0,30,30,30,2740.35461608347,2742.3546366147953,left,1,0.6863256242486386,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
L,right,Target,0,31,31,31,2743.85475723633,2745.8562287548907,right,1,0.731676754819091,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
R,left,Distractor,0,32,32,32,2747.3540902890686,2749.353046078709,left,1,0.5575659857540813,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
V,left,Distractor,0,33,33,33,2750.853526319234,2752.8545955521454,right,0,0.933682536953711,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
L,left,Lure,0,34,34,34,2754.3530396626707,2756.354510860429,left,1,0.8952681070240942,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
H,left,Distractor,0,35,35,35,2757.8525113018527,2759.8535442841435,left,1,0.5840754551863938,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
K,left,Pretarget,0,36,36,36,2761.351901457339,2763.3530329258297,left,1,1.0937309523842487,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
F,left,Distractor,0,37,37,37,2764.8511966554474,2766.852237657786,left,1,0.6639795225701164,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
K,right,Target,0,38,38,38,2768.350603813437,2770.3514962844715,right,1,0.613987670939423,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
S,left,Pretarget,0,39,39,39,2771.850061978937,2773.8512223196035,left,1,0.53114473685946,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
W,left,Distractor,0,40,40,40,2775.349468174521,2777.350143783435,left,1,0.5342449669387861,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
S,right,Target,0,41,41,41,2778.8488660292546,2780.848035472997,right,1,0.5961058492457596,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
F,left,Pretarget,0,42,42,42,2782.3482991722026,2784.3493052071294,left,1,0.5405243443765357,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
Y,left,Distractor,0,43,43,43,2785.8476675131565,2787.8488936182225,left,1,0.6894390072084207,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
F,right,Target,0,44,44,44,2789.3471093177573,2791.3490812873656,right,1,0.6102769547424032,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
F,left,Lure,0,45,45,45,2792.8465386110815,2794.846186049734,left,1,0.9379151979283051,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
B,left,Pretarget,0,46,46,46,2796.345945769071,2798.347140114744,left,1,0.6127092751548844,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
W,left,Distractor,0,47,47,47,2799.845298711531,2801.8467484155594,left,1,0.5904956646827486,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
B,right,Target,0,48,48,48,2803.3449115035733,2805.345849207683,right,1,0.4633653793098347,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
R,left,Pretarget,0,49,49,49,2806.8440450174962,2808.845645498443,left,1,0.6697132158851673,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
N,left,Distractor,0,50,50,50,2810.3435282055493,2812.3427329375068,left,1,0.6015732769410533,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
R,right,Target,0,51,51,51,2813.8429677645368,2815.8450433531757,right,1,0.42230786208619975,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
V,left,Distractor,0,52,52,52,2817.3426289976737,2819.3437652781927,left,1,0.6506322364903099,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
G,left,Distractor,0,53,53,53,2820.841720165739,2822.842244676933,left,1,0.6010378584796854,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
H,left,Distractor,0,54,54,54,2824.3412258099283,2826.3423508623796,left,1,0.6197110985922336,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
V,left,Lure,0,55,55,55,2827.840963714733,2829.841631945202,left,1,1.4594490290601243,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
L,left,Distractor,0,56,56,56,2831.356605376384,2833.3581125039623,left,1,0.7227693677768912,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
K,left,Distractor,0,57,57,57,2834.856170368935,2836.8573650354097,left,1,0.628119638597127,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
D,left,Pretarget,0,58,58,58,2838.3553898577825,2840.3569216871106,left,1,0.7253402746318898,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
T,left,Pretarget,0,59,59,59,2841.854919241316,2843.855989436633,left,1,0.7039520875860035,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
D,right,Target,0,60,60,60,2845.354473005799,2847.3557786697497,left,0,0.7919884844923217,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
T,right,Target,0,61,61,61,2848.853761787868,2850.8551880733535,right,1,0.5947972980784471,1,1.47,Z02T02,2022-11-11_10h52.56.135,t1_Paradigm,2021.1.4,60.038520949711604,
