Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
0,0,0,0,0,2587.8561276584,EDleftbutton,1,0,2.00,1.00,1,2,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
1,0,1,1,1,2594.432255098656,EDleftbutton,1,0,2.00,1.50,1,2,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
2,0,2,2,2,2597.8260117913737,EDleftbutton,1,0,2.00,1.75,1,2,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
3,0,3,3,3,2600.3977686342264,EDleftbutton,1,0,2.00,1.88,1,2,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
4,0,4,4,4,2601.968311244023,EDleftbutton,1,0,2.00,1.94,1,2,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
5,0,5,5,5,2604.274361493061,EDleftbutton,1,0,2.00,1.97,1,2,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
0,0,0,0,0,2608.0165408376893,EDrightbutton,0,1,1.00,2.00,2,3,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
1,0,1,1,1,2611.102792126509,EDrightbutton,0,1,1.50,2.00,2,3,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
2,0,2,2,2,2613.051504333705,EDrightbutton,0,1,1.75,2.00,2,3,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
