Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,316.28455078509705,318.2212922904382,None,0,1,,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
Q,left,Pretarget,0,1,1,1,319.7247832505773,321.7232305721109,left,1,1,0.5168160852358596,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
Q,right,Target,0,2,2,2,323.2210212133091,325.22109339360986,right,1,1,0.7630526043617465,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
T,left,Distractor,0,3,3,3,326.7210795991523,328.73371403897227,left,1,1,0.7382780795805957,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
Q,left,Lure,0,4,4,4,330.2209416545779,332.22099490759956,right,0,1,0.5311867018863268,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
L,left,Distractor,0,5,5,5,333.72095737384325,335.7222591856653,left,1,1,0.8857905539402964,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
V,left,Pretarget,0,6,6,6,337.2209499954124,339.222856838554,left,1,1,0.8253637726752459,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
V,right,Target,0,7,7,7,340.7206279108709,342.7208861559466,right,1,1,0.5751618282338313,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
K,left,Distractor,0,8,8,8,344.22074404095474,346.2236658995239,left,1,1,0.7044601651355151,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
G,left,Pretarget,0,9,9,9,347.7208656246612,349.7225931398557,left,1,1,0.9653608341345716,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
G,right,Target,0,10,10,10,351.2208948175826,353.22074596576294,right,1,1,0.8752528716531742,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
G,right,Target,0,11,11,11,354.7204922119058,356.7208961007882,right,1,1,0.6391318602563842,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
P,left,Pretarget,0,12,12,12,358.2208954591856,360.2228578009581,left,1,1,0.5613019273105238,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
P,right,Target,0,13,13,13,361.72096892269155,363.72064555494444,right,1,1,0.9032761515645689,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
G,left,Lure,0,14,14,14,365.22089064716556,367.2213930220578,left,1,1,0.6344795992804393,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
Y,left,Distractor,0,15,15,15,368.72088102312546,370.72281673838734,left,1,1,0.7972448939653987,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
