Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2680.432182276753,2682.434282242299,left,1,0.8089522179243431,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
P,left,Pretarget,0,1,1,1,2683.932060372245,2685.9334709357195,left,1,0.5897801035162047,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
B,left,Distractor,0,2,2,2,2687.4322939156177,2689.4341426937176,left,1,0.48126167315876955,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
K,left,Pretarget,0,3,3,3,2690.932095660392,2692.9334475172222,left,1,0.5657735771337684,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
H,left,Distractor,0,4,4,4,2694.4321203620952,2696.4323243917447,left,1,0.6505665030790624,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
P,right,Target,0,5,5,5,2697.9318293952833,2699.9338222131823,right,1,0.589397708323304,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
L,left,Distractor,0,6,6,6,2701.4323683415273,2703.4324437298415,left,1,0.8667147440937697,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
K,right,Target,0,7,7,7,2704.932348451845,2706.9317601021944,right,1,0.40744849374095793,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
Z,left,Pretarget,0,8,8,8,2708.4319865879374,2710.4330927109445,left,1,0.6338456958401366,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
S,left,Pretarget,0,9,9,9,2711.9320196304757,2713.933622353951,left,1,0.669421922408219,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
N,left,Distractor,0,10,10,10,2715.4322316801586,2717.4335306047683,left,1,0.561645184739973,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
M,left,Distractor,0,11,11,11,2718.932237775384,2720.933037533115,left,1,0.5662076213420733,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
Z,right,Target,0,12,12,12,2722.4324013840655,2724.434472798292,right,1,0.6323485160046403,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
S,right,Target,0,13,13,13,2725.9322422666023,2727.933974914619,right,1,0.8611597481585704,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
Q,left,Distractor,0,14,14,14,2729.4320238008927,2731.43489240644,left,1,0.5923157172765059,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
V,left,Lure,0,15,15,15,2732.9320151392562,2734.933157512814,left,1,0.6621721330138826,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
Z,right,Target,0,16,16,16,2736.4321354397575,2738.4328578843665,right,1,0.6820630990559948,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
X,left,Distractor,0,17,17,17,2739.9320164224623,2741.948387556244,left,1,0.5906241318307366,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
V,left,Pretarget,0,18,18,18,2743.4321139460685,2745.432191900793,left,1,0.9628816814092716,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
E,left,Distractor,0,19,19,19,2746.9322249433303,2748.9336143339174,left,1,0.6774454846245135,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
R,left,Distractor,0,20,20,20,2750.4321790687395,2752.4339662529824,left,1,0.7774905892929382,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
G,left,Distractor,0,21,21,21,2753.9323237501417,2755.9331302447013,left,1,0.7177791950070969,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
V,right,Target,0,22,22,22,2757.4319477709764,2759.434450021398,right,1,0.49657512493649847,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
T,left,Pretarget,0,23,23,23,2760.9318438313435,2762.932455920293,left,1,0.6147763020198909,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
B,left,Distractor,0,24,24,24,2764.432030537721,2766.433572308942,left,1,1.3213656256230024,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
S,left,Pretarget,0,25,25,25,2767.9322249433303,2769.932829012246,left,1,0.6541444003805736,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
G,left,Lure,0,26,26,26,2771.4322525322455,2773.4321347981554,left,1,0.7388568051910624,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
T,right,Target,0,27,27,27,2774.9319830591235,2776.933352880828,right,1,1.2535876817419194,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
H,left,Distractor,0,28,28,28,2778.431848964164,2780.432169123898,left,1,0.6988461417549843,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
S,right,Target,0,29,29,29,2781.931913445233,2783.9338863734497,right,1,0.6210877475068628,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
D,left,Distractor,0,30,30,30,2785.4319859463353,2787.4342273852703,left,1,0.720645234143376,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
Z,left,Distractor,0,31,31,31,2788.9319811343153,2790.933637431613,left,1,0.8052976491035224,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
J,left,Pretarget,0,32,32,32,2792.432085394749,2794.432539649441,left,1,0.8583751925616525,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
C,left,Pretarget,0,33,33,33,2795.9315371452662,2797.933502374251,left,1,0.9735310025616855,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
H,left,Distractor,0,34,34,34,2799.431796352745,2801.433816117957,left,1,0.6248334239062387,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
B,left,Pretarget,0,35,35,35,2802.9318893851328,2804.9333047606274,left,1,0.7735428080513884,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
J,right,Target,0,36,36,36,2806.431993003964,2808.434441680563,right,1,0.600330617857253,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
C,right,Target,0,37,37,37,2809.932145384599,2811.9340195060045,None,0,,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
H,left,Distractor,0,38,38,38,2813.4318515305754,2815.432458486703,right,0,0.83434653088716,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
B,right,Target,0,39,39,39,2816.9321270989226,2818.9321639910763,right,1,0.5830641275451853,3,2.9699999999999998,Z12I04,2023-01-25_10h41.04.049,t1_Paradigm,2021.1.4,59.98329731741151,
