Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
0,0,0,0,0,3027.7296547400765,EDleftbutton,1,0,1.00,2.00,1,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
1,0,1,1,1,3035.3897798272083,EDleftbutton,1,0,0.50,2.00,1,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
2,0,2,2,2,3039.3798439491075,EDrightbutton,0,1,0.25,2.00,1,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
3,0,3,3,3,3043.6530687272316,EDrightbutton,0,1,0.38,2.00,1,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
4,0,4,4,4,3049.103181777871,EDrightbutton,0,1,0.44,2.00,1,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
5,0,5,5,5,3053.359393786872,EDrightbutton,0,1,0.47,2.00,1,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
0,0,0,0,0,3056.4003861813108,EDleftbutton,1,0,1.00,2.00,2,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
1,0,1,1,1,3060.331446483149,EDleftbutton,1,0,0.50,2.00,2,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
2,0,2,2,2,3063.6289415331557,EDrightbutton,0,1,0.25,2.00,2,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
3,0,3,3,3,3065.5962075433927,EDrightbutton,0,1,0.38,2.00,2,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
4,0,4,4,4,3069.4820909100818,EDrightbutton,0,1,0.44,2.00,2,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
5,0,5,5,5,3072.317823949037,EDrightbutton,0,1,0.47,2.00,2,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
0,0,0,0,0,3074.3292246088386,EDleftbutton,1,0,1.00,2.00,2,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
1,0,1,1,1,3077.2340070601786,EDleftbutton,1,0,0.50,2.00,2,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
2,0,2,2,2,3081.838902882999,EDrightbutton,0,1,0.25,2.00,2,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
3,0,3,3,3,3083.600508856005,EDrightbutton,0,1,0.38,2.00,2,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
4,0,4,4,4,3086.0296802759403,EDrightbutton,0,1,0.44,2.00,2,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
5,0,5,5,5,3087.91907546157,EDrightbutton,0,1,0.47,2.00,2,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
0,0,0,0,0,3089.300492302631,EDrightbutton,0,1,1.00,2.00,3,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
1,0,1,1,1,3097.9155277127866,EDleftbutton,1,0,1.50,2.00,3,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
2,0,2,2,2,3100.83972509834,EDrightbutton,0,1,1.25,2.00,3,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
3,0,3,3,3,3104.0492790295975,EDrightbutton,0,1,1.38,2.00,3,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
4,0,4,4,4,3110.5833494802937,EDleftbutton,1,0,1.44,2.00,3,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
5,0,5,5,5,3112.31605215976,EDleftbutton,1,0,1.41,2.00,3,4,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
0,0,0,0,0,3118.050478508114,EDrightbutton,0,1,1.00,2.00,1,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
1,0,1,1,1,3121.212753609987,EDleftbutton,1,0,1.50,2.00,1,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
2,0,2,2,2,3126.215054401546,EDleftbutton,1,0,1.25,2.00,1,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
3,0,3,3,3,3130.3654338461347,EDrightbutton,0,1,1.12,2.00,1,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
4,0,4,4,4,3132.263119837502,EDrightbutton,0,1,1.18,2.00,1,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
5,0,5,5,5,3133.965493258671,EDrightbutton,0,1,1.21,2.00,1,3,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
0,0,0,0,0,3135.7253351417603,EDrightbutton,0,1,1.00,2.00,1,2,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
1,0,1,1,1,3138.821461843094,EDleftbutton,1,0,1.50,2.00,1,2,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
2,0,2,2,2,3141.496196892811,EDrightbutton,0,1,1.25,2.00,1,2,Z15R03,2022-10-20_16h10.29.510,t1_Paradigm,2021.1.4,59.98549042591078,
