vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
0,0,0,0,0,2270.126220811857,VS1leftbutton,1,0,3,4,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
1,0,1,1,1,2279.020857901429,VS1leftbutton,1,0,2,1,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
2,0,2,2,2,2283.330800067284,VS1leftbutton,1,0,3,1,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
3,0,3,3,3,2286.7819566866383,VS1rightbutton,0,1,1,3,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
4,0,4,4,4,2292.5810246286565,VS1rightbutton,0,1,1,4,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
5,0,5,5,5,2296.308705795149,VS1leftbutton,1,0,3,4,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
6,0,6,6,6,2299.6986867651576,VS1leftbutton,1,0,4,2,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
7,0,7,7,7,2302.4313942566514,VS1leftbutton,1,0,3,2,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
8,0,8,8,8,2304.9095777989714,VS1rightbutton,0,1,1,2,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
9,0,9,9,9,2308.2464798401925,VS1rightbutton,0,1,2,3,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
10,0,10,10,10,2310.681202417065,VS1rightbutton,0,1,1,3,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
11,0,11,11,11,2312.682790707564,VS1rightbutton,0,1,4,3,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
12,0,12,12,12,2318.6295552273514,VS1rightbutton,0,1,1,2,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
13,0,13,13,13,2321.364427490451,VS1rightbutton,0,1,2,4,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
14,0,14,14,14,2325.3978322770563,VS1rightbutton,0,1,1,4,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
15,0,15,15,15,2328.449028098432,VS1rightbutton,0,1,1,4,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
16,0,16,16,16,2333.2151753439684,VS1leftbutton,1,0,3,2,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
17,0,17,17,17,2335.6646795124398,VS1rightbutton,0,1,2,4,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
