Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2475.396731926361,2477.3896454112255,None,0,1,1.47,,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
T,left,Pretarget,0,1,1,1,2478.889163566695,2480.8902055314393,None,0,1,1.47,,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
B,left,Distractor,0,2,2,2,2482.3891135215526,2484.3903797268867,left,1,1,1.47,0.8525119434343651,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
T,right,Target,0,3,3,3,2485.889203025319,2487.8896232759,right,1,1,1.47,0.6495623619412072,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
Z,left,Distractor,0,4,4,4,2489.3892623736756,2491.389480518992,left,1,1,1.47,0.4457036277744919,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
T,right,Target,0,5,5,5,2492.8891318072565,2494.889487576671,right,1,1,1.47,0.43337649188470095,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
L,left,Distractor,0,6,6,6,2496.3893265340594,2498.390072719427,left,1,1,1.47,0.5331635435577482,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
T,right,Target,0,7,7,7,2499.8891298824456,2501.8895931204897,left,0,1,1.47,0.7135017201071605,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
Z,left,Lure,0,8,8,8,2503.3892610904877,2505.3895305641345,left,1,1,1.47,0.49322081316495314,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
J,left,Distractor,0,9,9,9,2506.889341932547,2508.8895485289977,left,1,1,1.47,0.6093633107375354,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
D,left,Pretarget,0,10,10,10,2510.3891561882338,2512.389623596682,left,1,1,1.47,0.5172857716679573,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
H,left,Distractor,0,11,11,11,2513.8892726393533,2515.8907646892476,left,1,1,1.47,0.6000863598892465,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
D,right,Target,0,12,12,12,2517.389249541622,2519.390066944994,right,1,1,1.47,0.41306010412517935,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
S,left,Distractor,0,13,13,13,2520.889086894982,2522.88973780215,left,1,1,1.47,0.4330909781274386,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
R,left,Pretarget,0,14,14,14,2524.3891035767156,2526.389725290879,left,1,1,1.47,0.5010233582579531,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
Z,left,Distractor,0,15,15,15,2527.8892694312963,2529.889373691927,left,1,1,1.47,0.6335059034172446,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
R,right,Target,0,16,16,16,2531.389350594196,2533.389489501482,right,1,1,1.47,0.8613936663023196,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
T,left,Distractor,0,17,17,17,2534.8891558674513,2536.8895247897017,left,1,1,1.47,0.6094034110428765,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
M,left,Distractor,0,18,18,18,2538.389161000261,2540.3895510954317,left,1,1,1.47,0.7414820665144362,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
R,left,Lure,0,19,19,19,2541.88915907545,2543.889435285935,left,1,1,1.47,0.7460599103942513,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
J,left,Distractor,0,20,20,20,2545.389166133071,2547.39022317552,left,1,1,1.47,0.5406834621098824,Z20J04,2022-10-20_09h15.43.177,t1_Paradigm,2021.1.4,60.070453752061105,
