vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
0,0,0,0,0,2640.166511719522,VS1rightbutton,0,1,3,2,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
1,0,1,1,1,2652.9959569381676,VS1rightbutton,0,1,2,1,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
2,0,2,2,2,2657.7675773580836,VS1leftbutton,1,0,2,4,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
3,0,3,3,3,2662.1035008430667,VS1leftbutton,1,0,1,3,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
4,0,4,4,4,2666.3393060164403,VS1leftbutton,1,0,1,4,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
5,0,5,5,5,2669.972238796968,VS1rightbutton,0,1,4,2,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
6,0,6,6,6,2673.6114204707314,VS1rightbutton,0,1,2,1,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
7,0,7,7,7,2679.559757948821,VS1rightbutton,0,1,3,2,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
8,0,8,8,8,2682.7142248536506,VS1rightbutton,0,1,3,2,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
9,0,9,9,9,2684.869582945163,VS1leftbutton,1,0,2,4,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
10,0,10,10,10,2687.985929323571,VS1leftbutton,1,0,1,2,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
11,0,11,11,11,2690.217583645794,VS1leftbutton,1,0,3,4,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
12,0,12,12,12,2692.7256088171666,VS1rightbutton,0,1,3,1,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
13,0,13,13,13,2695.232810811782,VS1leftbutton,1,0,3,4,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
14,0,14,14,14,2697.4013823980044,VS1leftbutton,1,0,1,3,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
15,0,15,15,15,2699.6405130001617,VS1rightbutton,0,1,4,1,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
16,0,16,16,16,2701.883579195635,VS1rightbutton,0,1,4,3,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
17,0,17,17,17,2704.798200110869,VS1leftbutton,1,0,1,4,Z23N021,2022-11-28_09h21.04.321,t1_Paradigm,2021.1.4,60.00358035896724,
