Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
0,0,0,0,0,2734.998796,EDleftbutton,1,0,1,2,2,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
1,0,1,1,1,2745.296285,EDrightbutton,0,1,0.5,2,2,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
2,0,2,2,2,2757.312828,EDrightbutton,0,1,0.75,2,2,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
3,0,3,3,3,2764.994749,EDrightbutton,0,1,0.88,2,2,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
4,0,4,4,4,2770.081004,EDrightbutton,0,1,0.94,2,2,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
5,0,5,5,5,2771.934966,EDrightbutton,0,1,0.97,2,2,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
0,0,0,0,0,2773.350938,EDleftbutton,1,0,1,2,3,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
1,0,1,1,1,2776.070463,EDrightbutton,0,1,0.5,2,3,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
2,0,2,2,2,2785.435042,EDrightbutton,0,1,0.75,2,3,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
3,0,3,3,3,2786.728608,EDrightbutton,0,1,0.88,2,3,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
4,0,4,4,4,2788.184939,EDrightbutton,0,1,0.94,2,3,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
5,0,5,5,5,2789.62543,EDrightbutton,0,1,0.97,2,3,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
0,0,0,0,0,2792.036542,EDleftbutton,1,0,1,2,1,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
1,0,1,1,1,2794.851793,EDleftbutton,1,0,0.5,2,1,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
2,0,2,2,2,2802.412755,EDrightbutton,0,1,0.25,2,1,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
3,0,3,3,3,2804.875466,EDrightbutton,0,1,0.38,2,1,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
4,0,4,4,4,2806.447921,EDrightbutton,0,1,0.44,2,1,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
5,0,5,5,5,2808.865857,EDrightbutton,0,1,0.47,2,1,4,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
0,0,0,0,0,2810.065667,EDrightbutton,0,1,1,2,1,2,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
1,0,1,1,1,2814.927389,EDrightbutton,0,1,1.5,2,1,2,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
2,0,2,2,2,2821.009785,EDrightbutton,0,1,1.75,2,1,2,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
3,0,3,3,3,2822.879068,EDrightbutton,0,1,1.88,2,1,2,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
4,0,4,4,4,2824.084527,EDrightbutton,0,1,1.94,2,1,2,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
5,0,5,5,5,2825.175897,EDrightbutton,0,1,1.97,2,1,2,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
0,0,0,0,0,2826.525858,EDrightbutton,0,1,1,2,2,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
1,0,1,1,1,2829.174669,EDrightbutton,0,1,1.5,2,2,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
2,0,2,2,2,2831.526031,EDrightbutton,0,1,1.75,2,2,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
3,0,3,3,3,2832.602185,EDrightbutton,0,1,1.88,2,2,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
4,0,4,4,4,2835.767159,EDrightbutton,0,1,1.94,2,2,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
5,0,5,5,5,2837.475243,EDrightbutton,0,1,1.97,2,2,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
0,0,0,0,0,2839.156718,EDleftbutton,1,0,1,2,1,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
1,0,1,1,1,2844.842078,EDrightbutton,0,1,0.5,2,1,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
2,0,2,2,2,2848.357891,EDrightbutton,0,1,0.75,2,1,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
3,0,3,3,3,2850.26548,EDrightbutton,0,1,0.88,2,1,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
4,0,4,4,4,2851.633965,EDrightbutton,0,1,0.94,2,1,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
5,0,5,5,5,2852.679723,EDrightbutton,0,1,0.97,2,1,3,Z23N02,2022-11-28_09h21.04.321,t1_Paradigm,04.01.2021,60.00358036
