Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
0,0,0,0,0,2548.1451771389893,EDleftbutton,1,0,1.00,2.00,1,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
1,0,1,1,1,2554.940305756636,EDleftbutton,1,0,0.50,2.00,1,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
2,0,2,2,2,2562.438724361884,EDrightbutton,0,1,0.25,2.00,1,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
3,0,3,3,3,2573.7848064840555,EDrightbutton,0,1,0.38,2.00,1,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
4,0,4,4,4,2577.959894263574,EDrightbutton,0,1,0.44,2.00,1,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
5,0,5,5,5,2584.623155828095,EDrightbutton,0,1,0.47,2.00,1,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
0,0,0,0,0,2586.387334405882,EDleftbutton,1,0,1.00,2.00,1,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
1,0,1,1,1,2589.2549300089668,EDleftbutton,1,0,0.50,2.00,1,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
2,0,2,2,2,2592.7884402112804,EDrightbutton,0,1,0.25,2.00,1,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
3,0,3,3,3,2595.055901077414,EDrightbutton,0,1,0.38,2.00,1,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
4,0,4,4,4,2598.187088992152,EDrightbutton,0,1,0.44,2.00,1,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
5,0,5,5,5,2603.8877785566146,EDrightbutton,0,1,0.47,2.00,1,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
0,0,0,0,0,2605.971528478419,EDleftbutton,1,0,1.00,2.00,3,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
1,0,1,1,1,2610.520465740725,EDleftbutton,1,0,0.50,2.00,3,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
2,0,2,2,2,2615.0198704921268,EDrightbutton,0,1,0.25,2.00,3,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
3,0,3,3,3,2617.38652726739,EDrightbutton,0,1,0.38,2.00,3,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
4,0,4,4,4,2619.7627606317883,EDrightbutton,0,1,0.44,2.00,3,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
5,0,5,5,5,2621.4706380917396,EDrightbutton,0,1,0.47,2.00,3,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
0,0,0,0,0,2623.1364792272516,EDleftbutton,1,0,1.00,2.00,1,2,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
1,0,1,1,1,2628.129940635541,EDleftbutton,1,0,0.50,2.00,1,2,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
2,0,2,2,2,2629.785879567623,EDrightbutton,0,1,0.25,2.00,1,2,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
3,0,3,3,3,2631.836933322854,EDrightbutton,0,1,0.38,2.00,1,2,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
4,0,4,4,4,2633.3061428821193,EDrightbutton,0,1,0.44,2.00,1,2,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
5,0,5,5,5,2634.6481097528704,EDrightbutton,0,1,0.47,2.00,1,2,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
0,0,0,0,0,2636.7109327806984,EDleftbutton,1,0,1.00,2.00,2,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
1,0,1,1,1,2640.739743711073,EDleftbutton,1,0,0.50,2.00,2,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
2,0,2,2,2,2642.614805986812,EDrightbutton,0,1,0.25,2.00,2,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
3,0,3,3,3,2644.7650389694545,EDrightbutton,0,1,0.38,2.00,2,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
4,0,4,4,4,2646.648211126385,EDrightbutton,0,1,0.44,2.00,2,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
5,0,5,5,5,2648.2381417849756,EDrightbutton,0,1,0.47,2.00,2,3,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
0,0,0,0,0,2650.221331746431,EDleftbutton,1,0,1.00,2.00,2,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
1,0,1,1,1,2655.8203369386165,EDleftbutton,1,0,0.50,2.00,2,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
2,0,2,2,2,2657.1217422129257,EDrightbutton,0,1,0.25,2.00,2,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
3,0,3,3,3,2659.5403352704443,EDrightbutton,0,1,0.38,2.00,2,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
4,0,4,4,4,2660.8044492065756,EDrightbutton,0,1,0.44,2.00,2,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
5,0,5,5,5,2662.251654938671,EDrightbutton,0,1,0.47,2.00,2,4,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
