Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,249.57667767553107,251.51165330257913,None,0,1,,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
Q,left,Pretarget,0,1,1,1,253.01489581144529,255.01185460599868,None,0,1,,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
Q,right,Target,0,2,2,2,256.51004704565185,258.5098824740912,right,1,1,1.2466677467009504,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
T,left,Distractor,0,3,3,3,260.0102130608225,262.0118629468575,left,1,1,1.3285011957905226,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
Q,left,Lure,0,4,4,4,263.5098978725998,265.51022252448934,None,0,1,,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
L,left,Distractor,0,5,5,5,267.00980500034484,269.0116476885396,left,1,1,1.0485466855514005,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
V,left,Pretarget,0,6,6,6,270.5100727098327,272.51177264102057,left,1,1,0.9243917188102841,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
V,right,Target,0,7,7,7,274.009804037938,276.01004848926186,right,1,1,0.7861220941329066,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
K,left,Distractor,0,8,8,8,277.5101310958446,279.5121961000068,left,1,1,0.5479809507617119,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
G,left,Pretarget,0,9,9,9,281.01013831389537,283.0092018920918,left,1,1,0.7151362527408764,Ö27K03,2023-01-20_16h11.12.936,t1_Paradigm,2021.1.4,60.02343413028604,
