Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
B01J08            1           2.9579         4.2705
B01J08            2           0.7551         0.5595
B01J08            3          -0.2473         1.6477
B01J08            4          -0.0033        -0.3882
B01J08            5           0.2056        -0.4914
B01J08            6           0.1034         1.8998
B01J08            7           0.2495         3.2030
B01J08            8           0.1266         1.3185
B01J08            9           0.0320         0.3458
B01J08           10          -0.1668         2.6771
B01J08           11           0.0089        -0.3733
B01J08           12           0.0491        -1.1161
B01J08           13           0.0177         0.0760
B01J08           14           0.1698         1.4221
B01J08           15           0.1161        -1.8724
B01J08           16           0.1197        -0.1757
B01J08           17          -0.0560        -1.6068
B01J08           18           0.0178         1.3098
B01J08           19           0.1043        -1.6025
B01J08           20           1.3481        -0.3747
B01J08           21          -1.1591         3.9242
B01J08           22           0.3519        -0.0794
B01J08           23          -0.0254        -0.2147
B01J08           24          -0.0771        -0.2113
B01J08           25           0.1348         3.0945
B01J08           26           1.0153         4.0256
B01J08           27          -0.0998        -1.8211
B01J08           28           1.1789         5.3602
B01J08           29           8.5760         8.5928
B01J08           30           2.0387        -2.4396
B01J08           31           2.9391        -1.6260
B01J08           32           0.0930        -0.0507
B01J08           33           1.9483         8.1101
B01J08           34          -1.0027        -9.2247
B01J08           35          -0.1060         3.0229
B01J08           36           0.9589         1.5709
B01J08           37           0.3776         0.7705
B01J08           38           0.1317         0.5277
B01J08           39          -0.2641         0.8791
B01J08           40           0.7618        -0.3265
B01J08           41          -0.0429        -1.2229
B01J08           42           0.2378        -0.0967
B01J08           43           0.2057        -0.6454
B01J08           44          -0.1493        -0.2293
B01J08           45           0.0508         0.5820
B01J08           46          -0.0906         0.1277
B01J08           47          -0.2081         0.0300
B01J08           48          -1.4882        -1.1108
B01J08           49           0.5616         0.3641
B01J08           50          -1.2532         1.4390
B01J08           51           0.2216        -0.1143
B01J08           52           0.1886         3.3426
B01J08           53           0.0462         0.3965
B01J08           54          -0.2985        -0.3533
B01J08           55           0.4522        -0.1706
B01J08           56           0.3360         0.5049
B01J08           57           0.0710         0.0737
B01J08           58          -0.1398         0.3650
B01J08           59          -0.0978         0.0209
B01J08           60          -0.2120         1.9695
B01J08           61           0.4119        -0.0213
B01J08           62           0.4972        -0.0508
B01J08           63           0.2768         0.4876
B01J08           64          -0.4113        -0.0396
B01J08           65           0.2773         0.1519
B01J08           66          -0.0070         0.3247
B01J08           67          -0.2360         0.0866
B01J08           68           0.4816        -0.1919
B01J08           69           0.3874         0.4131
B01J08           70          -0.3228         0.0385
B01J08           71           0.1862         0.3435
B01J08           72           0.5911         0.2232
B01J08           73          -0.4231        -0.0679
B01J08           74           0.0293         0.3247
B01J08           75          -0.0370         0.0499
B01J08           76          -1.7296        -1.5071
B01J08           77           0.4412        -0.0218
B01J08           78          -0.3046         0.1228
B01J08           79          -0.7370        -0.0203
B01J08           80           0.8681         0.1958
B01J08           81          -0.4113        -0.2945
B01J08           82           0.8092         0.0798
B01J08           83           0.4249        -0.1286
B01J08           84           1.8389         0.5582
B01J08           85           0.0514         0.0844
B01J08           86           0.8590         0.3490
B01J08           87           0.0800        -0.0729
B01J08           88           0.2734        -4.7302
B01J08           89          -0.0456         0.3130
B01J08           90           0.1716        -0.0756
B01J08           91          -0.0772         0.6024
B01J08           92          -0.0343         0.4468
B01J08           93           0.0638         0.3288
B01J08           94           0.8062         0.9127
B01J08           95           0.0871        -0.5560
B01J08           96           0.1268        -0.3277
B01J08           97           0.2493        -4.5322
B01J08           98           0.0644        -0.6613
B01J08           99           0.1269         0.3110
B01J08          100           0.0337         0.0976
B01J08          101           0.6362         0.3452
B01J08          102          -0.3074         0.2583
B01J08          103           0.2271         0.0303
B01J08          104           1.0413         0.5007
B01J08          105          -0.7506        -0.2029
B01J08          106           0.1267         0.1885
B01J08          107           0.3801        -0.0978
B01J08          108          -1.0184         3.0590
B01J08          109           0.0916         0.1245
B01J08          110           0.2429         1.0231
B01J08          111           0.0838        -0.7813
B01J08          112           0.1909         0.0384
B01J08          113           0.0081         0.1592
B01J08          114           0.0082         0.0510
B01J08          115           0.0177        -0.0658
B01J08          116           0.2584         0.3180
B01J08          117          -0.0084        -0.0737
B01J08          118           0.7535         0.5821
B01J08          119          -0.1098         0.0864
B01J08          120           0.1705         0.2492
