Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
B02L10            1           0.0759        -0.0108
B02L10            2           0.9161        -0.0229
B02L10            3          -0.4965         0.0362
B02L10            4           0.4566         0.0224
B02L10            5           0.8272         0.0236
B02L10            6          -1.3705         0.1508
B02L10            7           2.0518        -4.7790
B02L10            8           0.0504         0.0558
B02L10            9           0.7903        -0.0038
B02L10           10          -1.1921        -0.1521
B02L10           11           3.1375         0.0373
B02L10           12           0.4065         0.1193
B02L10           13          -8.3977         1.7474
B02L10           14          11.6478         3.9391
B02L10           15           2.2778         1.2297
B02L10           16           0.5516         3.1466
B02L10           17          -0.0895         1.5149
B02L10           18           4.8399        -0.2021
B02L10           19           0.6155         4.2591
B02L10           20          15.2577         4.9536
B02L10           21           4.6508        -4.3267
B02L10           22          -1.9654         4.1252
B02L10           23           1.6323         0.0549
B02L10           24           1.5275        -0.2959
B02L10           25          -9.1443         1.3519
B02L10           26          -4.3208         1.2425
B02L10           27           1.7328         0.1114
B02L10           28          10.6188         0.8344
B02L10           29          -0.3167        -0.1319
B02L10           30          -0.7835        -0.2030
B02L10           31           0.9503        -0.0298
B02L10           32           0.4246         0.1594
B02L10           33          -0.0475       -11.8332
B02L10           34           3.3705         0.1362
B02L10           35           1.3906         0.0640
B02L10           36          -0.4242         0.3578
B02L10           37           0.7009         0.1577
B02L10           38          -0.4264        -0.1869
B02L10           39          -0.6013        -0.0389
B02L10           40          -0.1514         0.1556
B02L10           41           1.4164         0.1142
B02L10           42           0.8586         0.4460
B02L10           43           0.7688        -0.1754
B02L10           44          -0.4029        -0.0103
B02L10           45           0.6620         0.2387
B02L10           46          -0.1626        -0.1122
B02L10           47           0.8288        -0.0814
B02L10           48           1.1310         0.1422
B02L10           49           0.1508         0.1789
B02L10           50           1.1762         0.0542
B02L10           51          -0.6073         0.0086
B02L10           52          -0.5219        -0.0445
B02L10           53           0.3286        -0.0199
B02L10           54          -0.2510         0.0718
B02L10           55           0.4929        -0.0212
B02L10           56           0.6417         0.0895
B02L10           57           0.0304        -0.0324
B02L10           58           0.1074         0.1372
B02L10           59           0.1999         0.1677
B02L10           60           0.5487         0.1160
B02L10           61           0.2216        -0.0684
B02L10           62          -0.3906         0.1044
B02L10           63           0.2481         0.0038
B02L10           64           0.0669        -0.1107
B02L10           65           0.4262        -0.1361
B02L10           66           1.7494        -1.0168
B02L10           67          -0.2642        -0.0574
B02L10           68           0.0766         0.5276
B02L10           69           0.3949        -0.1263
B02L10           70           0.2885         0.1672
B02L10           71          -2.4080        -2.9029
B02L10           72           0.0783         0.1072
B02L10           73           0.2769        -2.4292
B02L10           74           0.0974         0.0316
B02L10           75           0.0024        -0.0311
B02L10           76          -0.0096         0.0913
B02L10           77           0.0925         0.2215
B02L10           78          -0.2111        -0.2345
B02L10           79          -0.0033         0.1330
B02L10           80           0.7526        -0.0381
B02L10           81           0.4766         0.1361
B02L10           82          -0.7867         0.2598
B02L10           83           3.5680         0.0019
B02L10           84          -0.7344         0.0835
B02L10           85           0.1189         0.0611
B02L10           86           0.2464         0.0940
B02L10           87           0.0500         0.0376
B02L10           88           0.5108         0.0738
B02L10           89           2.3908        -0.0365
B02L10           90           0.7772         0.1090
B02L10           91           0.0848        -0.0715
B02L10           92          -3.5296         4.4171
B02L10           93          -1.1724        -1.5401
B02L10           94           0.0625         0.1712
B02L10           95           1.2251         0.0980
B02L10           96          -0.0806        -0.1365
B02L10           97          -0.3373         0.0142
B02L10           98          -0.0439         0.1200
B02L10           99          -0.7156         0.1662
B02L10          100          -0.1175         0.0782
B02L10          101           0.0079         0.1995
B02L10          102           0.7587        -0.5101
B02L10          103           0.8600         0.2996
B02L10          104           0.2219        -0.0501
B02L10          105           0.4702        -0.1064
B02L10          106           0.3810         0.0926
B02L10          107           0.1857        -0.0886
B02L10          108           0.0344         0.1240
B02L10          109           0.4717         0.0319
B02L10          110           0.0506         0.1117
B02L10          111           0.5998        -0.0806
B02L10          112           0.0950         0.3509
