Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
B08A08            1          -0.0462         0.4232
B08A08            2          -0.9454         0.2980
B08A08            3          -0.2482         0.4259
B08A08            4           0.8140        -0.0729
B08A08            5          -0.0926         0.1657
B08A08            6          -0.7065         0.1728
B08A08            7           0.6937        -0.0625
B08A08            8          -0.4847         0.1535
B08A08            9          -0.3643        -0.1779
B08A08           10           0.8448        -0.3537
B08A08           11          -0.3228         0.0457
B08A08           12          -0.3800         3.1586
B08A08           13           1.4228         0.2456
B08A08           14           0.7019        -0.3584
B08A08           15          -0.1781         0.2833
B08A08           16           0.5467        -0.0968
B08A08           17          -0.2326        -0.0457
B08A08           18           0.2128         0.0951
B08A08           19          -0.0366        -0.3922
B08A08           20          -1.1547         1.2501
B08A08           21           0.6650        -0.0312
B08A08           22          -0.1792         0.1905
B08A08           23          -0.3279         0.0111
B08A08           24           0.1710         0.0378
B08A08           25           0.1152         0.0219
B08A08           26           0.1004         0.1429
B08A08           27          -0.2781        -0.0031
B08A08           28          -0.0575         0.0094
B08A08           29          -0.3332         0.1190
B08A08           30           0.1182         0.0807
B08A08           31           0.0597        -0.0031
B08A08           32           0.0067        -0.0407
B08A08           33           0.4085         0.1641
B08A08           34          -0.3614         0.0434
B08A08           35           0.3475         0.0695
B08A08           36           0.7335         0.4220
B08A08           37          -0.6157        -0.0452
B08A08           38           0.9445         0.0831
B08A08           39           0.0132        -0.0519
B08A08           40          -0.1998         0.2238
B08A08           41           0.1716         0.0529
B08A08           42           0.3249         0.1272
B08A08           43           0.9685         0.0882
B08A08           44           0.7136         0.0736
B08A08           45           1.1124         0.1431
B08A08           46           0.2342         0.0037
B08A08           47           0.3475         0.0056
B08A08           48          -0.7521         0.8022
B08A08           49           1.6556         0.6942
B08A08           50          -0.1738        -0.0288
B08A08           51          -0.3537         0.6284
B08A08           52           0.3332        -0.2247
B08A08           53           0.0888         2.4568
B08A08           54           0.5524         0.1463
B08A08           55          -0.1097        -0.3489
B08A08           56           0.0102         0.8367
B08A08           57           0.6014         0.7162
B08A08           58           0.1993        -0.2159
B08A08           59           0.5466         0.1009
B08A08           60          -0.0216        -0.1353
B08A08           61           0.0921        -0.0126
B08A08           62           0.2142         0.1176
B08A08           63           0.6191         0.2211
B08A08           64           0.4727         1.5203
B08A08           65           0.1078         0.1763
B08A08           66           1.7213         0.8745
B08A08           67          -0.3416        -0.6225
B08A08           68          -1.0328        -0.2009
B08A08           69          -0.5545         0.2628
B08A08           70           0.8727        -0.5508
B08A08           71           0.0764         0.0734
B08A08           72           0.2781        -0.0270
B08A08           73           1.0041        -1.4260
B08A08           74          -0.4607        -1.1958
B08A08           75          -0.1608         0.0324
B08A08           76           0.0177         0.7966
B08A08           77          -0.1493        -1.1734
B08A08           78           0.5703        -0.0401
B08A08           79           0.2152         0.7042
B08A08           80           0.6118        -0.0166
B08A08           81           0.0046         3.1021
B08A08           82           2.3516        -0.5478
B08A08           83           1.6250         0.0930
B08A08           84           0.0551         2.3724
B08A08           85          -0.1452        -4.4855
B08A08           86           0.2891         0.4759
B08A08           87           0.5466         0.2582
B08A08           88           1.0903         0.0552
B08A08           89           1.2728        -3.9133
B08A08           90          -0.4999        -0.2001
B08A08           91           0.0957        -0.0424
B08A08           92           0.1859         0.0752
B08A08           93          71.2673         0.9015
B08A08           94           0.6652         0.5115
B08A08           95          -0.1195         0.0557
B08A08           96          -1.2959        -5.9529
B08A08           97           0.4250        -0.0796
B08A08           98           0.6074        -0.1125
B08A08           99           0.1348         0.4882
B08A08          100           0.4997        -0.6305
B08A08          101           1.0168        -0.8709
B08A08          102           0.2000         0.3192
B08A08          103           0.0632        -0.0698
B08A08          104          -0.4581         0.2275
B08A08          105           0.9559         1.2748
B08A08          106           0.3256        -4.4346
B08A08          107          -0.3674        -0.4456
B08A08          108          -0.2861         1.0120
B08A08          109           0.1872         1.4593
B08A08          110           0.6279         2.0010
B08A08          111          -0.3619        -2.0400
B08A08          112          -0.2981         1.9033
B08A08          113          -0.4001        -0.3836
B08A08          114          -0.0329         0.1096
B08A08          115           0.4264         1.1902
B08A08          116           0.2228         0.5367
B08A08          117           0.0017         0.3649
B08A08          118           0.2724         0.3180
B08A08          119           0.2337        -0.1362
B08A08          120           0.5626         0.1309
