Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
B15D10            1           0.1070        -0.3610
B15D10            2           0.3885        -0.4656
B15D10            3           0.5648         0.2230
B15D10            4           2.6750         0.5056
B15D10            5          -2.5183         2.4317
B15D10            6           1.0856        -0.2786
B15D10            7           0.8554         0.1569
B15D10            8           1.1470         0.4059
B15D10            9           0.3976        -0.0692
B15D10           10          -2.1967         0.9328
B15D10           11           0.6563        -0.8001
B15D10           12          -0.6607         0.7040
B15D10           13          -2.1936         0.7938
B15D10           14           3.2509        -0.4032
B15D10           15          -0.1507        -0.0229
B15D10           16           0.5971         0.2030
B15D10           17           1.3959        -0.2336
B15D10           18           2.4585        -0.0698
B15D10           19           0.7669         0.2008
B15D10           20           0.4411         0.2305
B15D10           21          15.1862         4.9762
B15D10           22           2.9168         0.9438
B15D10           23           9.5667         3.9829
B15D10           24           4.9532         1.4591
B15D10           25          -2.9674         0.0897
B15D10           26          10.7240         0.3409
B15D10           27          13.4024         1.1947
B15D10           28           1.4151         0.4099
B15D10           29          -4.8666        -0.2360
B15D10           30           3.0143         1.4979
B15D10           31          -0.9102         0.7042
B15D10           32          -0.6460         1.8935
B15D10           33          14.2566         0.3447
B15D10           34           2.4832         1.0205
B15D10           35          -1.7880         0.2450
B15D10           36          -0.4502         3.5056
B15D10           37           2.0244         0.2416
B15D10           38           5.4496         2.1635
B15D10           39          -1.2576         0.6642
B15D10           40           5.4842        -0.4910
B15D10           41          -5.1245        -0.6997
B15D10           42           0.5916         0.4960
B15D10           43          -1.8858         0.1379
B15D10           44           1.5916         0.2825
B15D10           45           0.6062         0.2847
B15D10           46           2.0335         0.1594
B15D10           47          -0.5875         0.0984
B15D10           48           0.0571         0.1460
B15D10           49          -0.3279        -0.0732
B15D10           50           5.0245        -0.0478
B15D10           51           2.2691         0.0335
B15D10           52          -1.6862         1.6755
B15D10           53          -0.2707        -0.3005
B15D10           54          -2.6299         0.4409
B15D10           55           0.4021         0.0999
B15D10           56          -3.7393         0.3844
B15D10           57          -1.4747         1.2641
B15D10           58          -0.1347        -0.1199
B15D10           59           0.3397         1.7160
B15D10           60          -2.8302        -0.5201
B15D10           61           2.4435         0.1384
B15D10           62          -2.2564         0.2873
B15D10           63          -0.6883         0.0300
B15D10           64           2.0957         0.0915
B15D10           65           2.9982         0.1313
B15D10           66           2.3246         3.3120
B15D10           67          -1.1102        -1.2569
B15D10           68           0.8309         0.0530
B15D10           69           0.1287         0.2246
B15D10           70          -0.6905         0.0985
B15D10           71          -1.4231        -0.1383
B15D10           72           1.6038        -0.0051
B15D10           73          -2.2633        -0.5190
B15D10           74           1.3283        -0.1885
B15D10           75           0.8925        -0.3319
B15D10           76           0.9432        -0.2844
B15D10           77           1.5036        -0.1737
B15D10           78           0.6338         0.1753
B15D10           79           0.9076        -0.0327
B15D10           80          -0.5818        -4.3802
B15D10           81           0.8077        -0.3109
B15D10           82           1.0946        -0.0846
B15D10           83          -0.5964        -0.1957
B15D10           84          -0.3479         0.1259
B15D10           85           0.5127         0.0474
B15D10           86          -1.0044         0.0987
B15D10           87          -0.0013         0.0959
B15D10           88           6.0637         0.1725
B15D10           89          -0.1975        -0.0044
B15D10           90           0.3844        -0.0326
B15D10           91          -0.5203         0.1925
B15D10           92          -2.1424        -4.9875
B15D10           93           1.8275        -0.2255
B15D10           94           1.3926        -0.6755
B15D10           95           0.9372         0.0878
B15D10           96          -0.3367         0.0507
B15D10           97          -0.4098         0.1664
B15D10           98          -1.0037         0.1225
B15D10           99           0.9184        -0.0510
B15D10          100          -2.8803        -0.3802
B15D10          101           0.4933        -0.1790
B15D10          102           1.5105        -0.1144
B15D10          103          -1.8337        -0.0162
B15D10          104          -1.8480         0.1179
B15D10          105           1.0644        -0.5876
B15D10          106           0.7461         0.0475
B15D10          107          -1.2485         0.1782
B15D10          108           0.5726         0.1195
B15D10          109           2.7635         0.1431
B15D10          110          -0.3820        -0.0750
B15D10          111           3.7924         0.3672
B15D10          112          -1.6249        -0.1893
B15D10          113           0.5444         0.1077
B15D10          114          -0.4867        -0.0799
B15D10          115          -0.8816        -0.2803
B15D10          116           2.0100         0.3306
B15D10          117          -0.3580         0.8569
B15D10          118           0.8082        -0.0961
B15D10          119           0.4617         0.0474
