Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
B19S05            1          -0.1775        -0.0832
B19S05            2          -0.0881         0.1440
B19S05            3           0.1458         0.4788
B19S05            4           0.3092        -0.0085
B19S05            5          -0.0695         0.0866
B19S05            6           0.0828        -0.1035
B19S05            7           0.2003         0.1635
B19S05            8           0.2846         0.0155
B19S05            9           0.0388         0.3680
B19S05           10           0.1163         0.1036
B19S05           11          -0.1548        -0.1239
B19S05           12           0.0224         0.2869
B19S05           13           0.4277        -1.6430
B19S05           14           0.0515         0.1689
B19S05           15           0.0147         0.0608
B19S05           16          -0.2090        -0.4888
B19S05           17           0.1670        -0.3407
B19S05           18           0.2205         0.7624
B19S05           19          -0.1683         0.2078
B19S05           20           0.7367         0.1905
B19S05           21           1.8098        -0.0073
B19S05           22           0.5951        -0.0913
B19S05           23           0.4791         0.0088
B19S05           24           1.7204         0.0801
B19S05           25           0.4657         0.5167
B19S05           26           0.2939        -0.2750
B19S05           27           1.6502        -0.5357
B19S05           28           0.4841        -0.1545
B19S05           29           0.1288        -0.1083
B19S05           30           0.2124         1.1332
B19S05           31          -0.6255         0.3815
B19S05           32           0.7360        -0.5489
B19S05           33           0.8733         0.2354
B19S05           34           0.5929         0.0190
B19S05           35           1.0900         0.3619
B19S05           36           1.8603         0.6588
B19S05           37           0.6044         0.3593
B19S05           38           2.0860         1.2318
B19S05           39           2.1136        -1.6473
B19S05           40           0.7937        -0.1086
B19S05           41          -0.2474        -0.0072
B19S05           42          -0.2892        -0.1161
B19S05           43          -0.0949         0.0555
B19S05           44          -0.1149        -0.4734
B19S05           45           0.1155        -0.0672
B19S05           46           0.1317        -0.4823
B19S05           47           0.4217        -0.2505
B19S05           48           0.4684         0.0380
B19S05           49          -0.1644         0.1299
B19S05           50           0.2371         0.1594
B19S05           51           0.1245        -0.0393
B19S05           52           0.2524         0.0546
B19S05           53           0.6806         0.0542
B19S05           54          -0.4924         0.7917
B19S05           55           0.5095         0.0142
B19S05           56           0.3740        -1.4447
B19S05           57           0.1757        -0.0804
B19S05           58           0.1840         0.0506
B19S05           59           0.2883         0.4014
B19S05           60           0.8944        -0.1547
B19S05           61           0.7615        -0.5164
B19S05           62           0.6150        -0.1967
B19S05           63           0.7111         0.2118
B19S05           64           0.1176         0.4338
B19S05           65           0.8005        -1.5828
B19S05           66           0.6060        -0.4309
B19S05           67           0.0585        -0.0101
B19S05           68          -0.0080        -0.1695
B19S05           69          -0.0033         0.3188
B19S05           70           0.0099         0.0091
B19S05           71           0.2199        -0.0925
B19S05           72           0.2244        -0.1190
B19S05           73           0.5540         0.5115
B19S05           74          -0.3264        -1.0518
B19S05           75           0.5597        -0.0875
B19S05           76           0.1762        -0.3741
B19S05           77           0.3245         0.1892
B19S05           78           0.1493         0.2092
B19S05           79           0.4529        -0.0557
B19S05           80           0.4444         1.4186
B19S05           81           1.1175        -0.4365
B19S05           82           0.8470         0.1889
B19S05           83           0.1418        -0.2334
B19S05           84           0.7190        -0.0338
B19S05           85           0.6459        -0.2701
B19S05           86           0.3647        -0.1091
B19S05           87          -0.2788         0.1496
B19S05           88           0.2604        -0.3189
B19S05           89           0.7611        -0.0430
B19S05           90           0.3663         0.1698
B19S05           91           0.3134        -0.2321
B19S05           92           0.2880         0.1726
B19S05           93           0.0486         0.1834
B19S05           94           0.2758         0.0470
B19S05           95          -0.0537         1.9467
B19S05           96           0.5169         0.1463
B19S05           97           0.0150        -0.0768
B19S05           98           0.3908         0.4946
B19S05           99           0.2194         0.2397
B19S05          100           0.4422         0.0371
B19S05          101           0.2963        -0.0252
B19S05          102          -0.2379         0.3408
B19S05          103           0.1952        -0.0737
B19S05          104           0.4142        -0.1562
B19S05          105          -0.1794        -0.0337
B19S05          106           0.4174         0.2793
B19S05          107           0.5779         0.4007
B19S05          108           0.4652        -0.2791
B19S05          109           0.2434         0.1002
B19S05          110          -0.0174         0.0270
B19S05          111           0.3592         0.1848
B19S05          112           0.2922        -0.5623
B19S05          113           0.1310         0.2454
B19S05          114          -0.0130         0.3819
B19S05          115          -0.0559        -0.4477
B19S05          116           0.3082         0.1213
B19S05          117           0.0833         0.0410
B19S05          118           0.1177         0.0331
B19S05          119           0.5536         0.0025
B19S05          120           0.0231         0.2596
