Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
B27T02            1           0.0085         0.2353
B27T02            2          -0.0200        -0.0016
B27T02            3          -0.0061        -0.1750
B27T02            4           0.0191         0.0334
B27T02            5           0.0009         0.1370
B27T02            6           0.0068        -0.4680
B27T02            7           0.0103         0.3243
B27T02            8           0.0483        -0.0194
B27T02            9           0.0162         0.0865
B27T02           10           0.0757        -0.5957
B27T02           11           0.0444         0.0388
B27T02           12           0.0372         0.0926
B27T02           13           0.0150        -0.1258
B27T02           14           0.0119         0.3331
B27T02           15           0.0047         0.6141
B27T02           16           0.0258        -0.0432
B27T02           17          -0.0037        -0.1966
B27T02           18           0.0865        -0.5383
B27T02           19           0.0163         0.8269
B27T02           20           0.0250        -0.4961
B27T02           21           0.0426        -0.3484
B27T02           22           0.1747        -0.4486
B27T02           23           0.1990         1.9567
B27T02           24           0.0260         1.2102
B27T02           25           0.0168         2.3653
B27T02           26          -0.0162         2.1276
B27T02           27           0.1648         1.8210
B27T02           28           0.1420         0.3436
B27T02           29           0.1159         3.5736
B27T02           30           0.1481        -1.6735
B27T02           31           0.1051         0.2450
B27T02           32           0.0070        -0.2654
B27T02           33           0.0261         1.6461
B27T02           34           0.0762        -0.6997
B27T02           35           0.2103         0.8513
B27T02           36           0.0905         0.2099
B27T02           37           0.2133         1.0976
B27T02           38           0.0367         0.5304
B27T02           39           0.0805         0.0176
B27T02           40           0.0356         0.0343
B27T02           41           0.0458        -0.6952
B27T02           42           0.0808        -0.7156
B27T02           43           0.0603         0.1561
B27T02           44          -0.0303        -0.2903
B27T02           45           0.0711        -0.4006
B27T02           46           0.0223         0.3673
B27T02           47          -0.0645         3.5015
B27T02           48           0.0387         0.1377
B27T02           49           0.0142        -0.0748
B27T02           50           0.0052        -0.1458
B27T02           51          -0.0004         0.0443
B27T02           52           0.0203         0.0959
B27T02           53          -0.0097         0.4809
B27T02           54           0.0234         0.2188
B27T02           55           0.0078         0.3280
B27T02           56          -0.0235         0.1933
B27T02           57          -0.0015        -0.8197
B27T02           58          -0.0914         2.3201
B27T02           59           0.0397         1.0613
B27T02           60           0.0327        -0.4784
B27T02           61           0.0006        -1.4543
B27T02           62           0.0960         0.6904
B27T02           63           0.0647         0.4348
B27T02           64           0.1536        -0.6082
B27T02           65           0.0029         0.1579
B27T02           66           0.0475         0.1985
B27T02           67           0.1378        -0.0464
B27T02           68           0.0985         0.2778
B27T02           69           0.2144         0.1912
B27T02           70           0.0186        -0.4298
B27T02           71           0.0656         0.8656
B27T02           72           0.0828        -0.4180
B27T02           73           0.0792        -0.1545
B27T02           74           0.1476         0.3990
B27T02           75           0.1365        -0.0549
B27T02           76           0.0224        -0.3353
B27T02           77          -0.0221         0.0849
B27T02           78           0.0165         0.3538
B27T02           79           0.0291         0.2259
B27T02           80           0.0367         0.6596
B27T02           81           0.0768         2.0238
B27T02           82           0.0014        -0.6305
B27T02           83           0.0628         0.5686
B27T02           84           0.0420         1.9365
B27T02           85          -0.0079        -0.0122
B27T02           86           0.0393         0.7424
B27T02           87          -0.0448         0.3722
B27T02           88           0.0037         0.2275
B27T02           89           0.3153         1.0230
B27T02           90           0.2248         0.1568
B27T02           91           0.2685         1.5275
B27T02           92           0.2127         0.3775
B27T02           93           0.0395        -0.0044
B27T02           94           0.0400         0.1361
B27T02           95           0.0115        -0.2898
B27T02           96          -0.0109         0.4007
B27T02           97           0.2477        -0.4673
B27T02           98           0.3017         0.4670
B27T02           99          -0.0617        -0.1896
B27T02          100           0.1182         0.1617
B27T02          101           0.0033         0.1150
B27T02          102          -0.0501         0.1210
B27T02          103          -0.0098        -0.3310
B27T02          104           0.0434         0.0242
B27T02          105           0.0629         0.9829
B27T02          106          -0.0527        -0.2229
B27T02          107           0.0525         0.5311
B27T02          108           0.0050        -0.1896
B27T02          109           0.0304         0.3436
B27T02          110           0.1121         0.4136
B27T02          111           0.0391         0.3720
B27T02          112           0.0293        -0.1048
B27T02          113           0.0084         0.0362
B27T02          114           0.0919         0.0421
B27T02          115          -0.0141         0.0266
B27T02          116           0.0279         0.8354
B27T02          117           0.0605        -0.6093
B27T02          118           0.0912         0.2606
B27T02          119           0.1463         0.5013
B27T02          120           0.0393         0.4412
