Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
0,0,0,0,0,1207.5477213298768,EDrightbutton,0,1,1.00,2.00,1,2,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,0,1,1,1,1210.2686623950858,EDrightbutton,0,1,1.50,2.00,1,2,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,0,2,2,2,1211.4819990177057,EDrightbutton,0,1,1.75,2.00,1,2,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
3,0,3,3,3,1212.3486215634525,EDrightbutton,0,1,1.88,2.00,1,2,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
4,0,4,4,4,1213.457347656913,EDrightbutton,0,1,1.94,2.00,1,2,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
5,0,5,5,5,1214.5452832373762,EDrightbutton,0,1,1.97,2.00,1,2,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
0,0,0,0,0,1215.6296123657485,EDleftbutton,1,0,2.00,1.00,2,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,0,1,1,1,1217.0782489747985,EDleftbutton,1,0,2.00,1.50,2,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,0,2,2,2,1217.962641365255,EDleftbutton,1,0,2.00,1.75,2,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
3,0,3,3,3,1218.663600979215,EDleftbutton,1,0,2.00,1.88,2,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
4,0,4,4,4,1219.5790995803595,EDleftbutton,1,0,2.00,1.94,2,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
5,0,5,5,5,1220.5786408340073,EDleftbutton,1,0,2.00,1.97,2,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
0,0,0,0,0,1221.8277757121718,EDleftbutton,1,0,2.00,1.00,1,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,0,1,1,1,1223.438846063652,EDleftbutton,1,0,2.00,1.50,1,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,0,2,2,2,1224.1792257837265,EDleftbutton,1,0,2.00,1.75,1,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
3,0,3,3,3,1224.8813175066912,EDleftbutton,1,0,2.00,1.88,1,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
4,0,4,4,4,1225.6471329475803,EDleftbutton,1,0,2.00,1.94,1,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
5,0,5,5,5,1226.8789798251055,EDleftbutton,1,0,2.00,1.97,1,3,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
