Block,conds_view_File,n_reps,instr_1,TriggerBlockView,ImageFile,Trigger,conds_reg_File,TriggerBlockReg,instr_2,blocks_view.thisRepN,blocks_view.thisTrialN,blocks_view.thisN,blocks_view.thisIndex,trials_view.thisRepN,trials_view.thisTrialN,trials_view.thisN,trials_view.thisIndex,blocks_reg.thisRepN,blocks_reg.thisTrialN,blocks_reg.thisN,blocks_reg.thisIndex,trials_reg.thisRepN,trials_reg.thisTrialN,trials_reg.thisN,trials_reg.thisIndex,trials_choice.thisRepN,trials_choice.thisTrialN,trials_choice.thisN,trials_choice.thisIndex,Fix_jitter,image_view.started,image_view.lasted,image_view.stopped,slider_arousal.response,slider_arousal.rt,slider_effort.response,slider_effort.rt,image_reg.started,image_reg.lasted,image_reg.stopped,slider_utility.response,slider_utility.rt,resp_choice.keys,resp_choice.rt,key_resp.keys,key_resp.rt,image.started,image.lased,image.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7185.jpg,1,,,,0,0,0,0,0,0,0,15,,,,,,,,,,,,,4.1,24.70494525359527,6.017631450880344,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/143.jpg,1,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,3.3,34.046371556956274,6.004107127218504,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7041.jpg,1,,,,0,0,0,0,0,2,2,12,,,,,,,,,,,,,3.1,43.186850918022174,6.008364485846414,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7224.jpg,1,,,,0,0,0,0,0,3,3,17,,,,,,,,,,,,,4.1,53.32662194905606,6.009189266875637,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7004.jpg,1,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,3.9,63.26758482236119,6.013713853274112,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/083.jpg,1,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,4.8,74.10635151968563,6.001571511017573,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/124.jpg,1,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,4.2,84.32821408761947,6.008729269396554,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7100.jpg,1,,,,0,0,0,0,0,7,7,13,,,,,,,,,,,,,4.4,94.7901427920201,6.0013116296045155,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/140.jpg,1,,,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,4.5,105.32572145883933,6.012618636458683,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7006.jpg,1,,,,0,0,0,0,0,9,9,8,,,,,,,,,,,,,5.0,116.39327105717939,6.010540130521349,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7009.jpg,1,,,,0,0,0,0,0,10,10,9,,,,,,,,,,,,,3.9,126.33504042581944,6.010410558737021,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7150.jpg,1,,,,0,0,0,0,0,11,11,14,,,,,,,,,,,,,3.4,135.771510953291,6.003550215562882,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7233.jpg,1,,,,0,0,0,0,0,12,12,18,,,,,,,,,,,,,4.2,146.0196022637051,6.008901154918476,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7002.jpg,1,,,,0,0,0,0,0,13,13,6,,,,,,,,,,,,,4.6,156.6575128055997,5.998933238291102,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7000.jpg,1,,,,0,0,0,0,0,14,14,5,,,,,,,,,,,,,3.5,166.18378533750456,6.013998404333051,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/107.jpg,1,,,,0,0,0,0,0,15,15,1,,,,,,,,,,,,,3.5,175.7255689497374,6.012610616417533,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7021.jpg,1,,,,0,0,0,0,0,16,16,10,,,,,,,,,,,,,3.4,185.17071812410632,6.005933450982411,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7025.jpg,1,,,,0,0,0,0,0,17,17,11,,,,,,,,,,,,,4.5,195.71540274561312,6.015680014474128,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7211.jpg,1,,,,0,0,0,0,0,18,18,16,,,,,,,,,,,,,4.5,206.25745903924417,5.999345147602526,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7235.jpg,1,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,4.4,216.69830016832475,6.016614188863969,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.4814814814814836,4.601351665650327,0.7407407407407307,3.703287992298101,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/1051.jpg,,,,,0,1,1,1,0,0,0,2,,,,,,,,,,,,,4.9,242.3711280444477,6.00398201457665,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/6838.jpg,,,,,0,1,1,1,0,1,1,7,,,,,,,,,,,,,4.9,253.31461562669756,6.001185586638712,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9230.jpg,,,,,0,1,1,1,0,2,2,11,,,,,,,,,,,,,4.2,263.5631775531242,6.0044786155226575,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9411.jpg,,,,,0,1,1,1,0,3,3,15,,,,,,,,,,,,,4.4,274.0160840320664,6.013823535356096,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9421.jpg,,,,,0,1,1,1,0,4,4,17,,,,,,,,,,,,,3.9,283.9523991311412,6.009495632446487,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/252.jpg,,,,,0,1,1,1,0,5,5,1,,,,,,,,,,,,,4.9,294.9002326132727,6.012727035334137,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/3230.jpg,,,,,0,1,1,1,0,6,6,5,,,,,,,,,,,,,3.1,304.047717640658,6.001505425879259,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9185.jpg,,,,,0,1,1,1,0,7,7,10,,,,,,,,,,,,,4.7,314.7960400886568,6.006037069913873,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9599.jpg,,,,,0,1,1,1,0,8,8,18,,,,,,,,,,,,,3.3,324.1390986307865,6.002595189066142,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9295.jpg,,,,,0,1,1,1,0,9,9,13,,,,,,,,,,,,,4.6,334.7899750127599,6.001032852975641,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/227.jpg,,,,,0,1,1,1,0,10,10,0,,,,,,,,,,,,,4.9,345.72846354297826,6.006319054559299,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9181.jpg,,,,,0,1,1,1,0,11,11,9,,,,,,,,,,,,,3.3,355.08382129936854,6.012977260616935,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/3061.jpg,,,,,0,1,1,1,0,12,12,4,,,,,,,,,,,,,3.6,364.72617366083796,6.0103614760855635,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/2800.jpg,,,,,0,1,1,1,0,13,13,3,,,,,,,,,,,,,3.1,373.8754080195922,6.013182605749989,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9420.jpg,,,,,0,1,1,1,0,14,14,16,,,,,,,,,,,,,3.6,383.53426177606707,6.01150766828232,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/6561.jpg,,,,,0,1,1,1,0,15,15,6,,,,,,,,,,,,,4.9,394.48075751534,6.001546167687593,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9332.jpg,,,,,0,1,1,1,0,16,16,14,,,,,,,,,,,,,4.7,405.2265754648979,6.010602398120682,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9905.jpg,,,,,0,1,1,1,0,17,17,19,,,,,,,,,,,,,3.3,414.5725664548627,6.002659349394889,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9120.jpg,,,,,0,1,1,1,0,18,18,8,,,,,,,,,,,,,3.7,424.3119212136826,6.005347346377221,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,Stimuli/9254.jpg,,,,,0,1,1,1,0,19,19,12,,,,,,,,,,,,,4.7,435.07270873039215,6.001779679204446,None,,,,,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
2,Trials/StimuliNegative.xlsx,1,ANSCHAUEN,22,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,48.88888888888889,3.6677325835985357,2.592592592592591,2.620242391306874,,,,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
3,,1,ABLENKEN,,Stimuli/6555.jpg,,Trials/StimuliNegative.xlsx,23,"Denken Sie während des Betrachtens der Bilder an etwas Neutrales, das mit dem Bild nichts zu tun hat. Das könnten geometrische Figuren, Alltagstätigkeiten oder bekannte Orte sein.",,,,,,,,,0,0,0,0,0,0,0,10,,,,,3.5,,,,,,,,464.7242543045968,5.997305779466387,None,,,,,,,,,,B01J08,2022-11-21_15h24.51.062,t2_paradigm,2021.1.4,60.02435872993331,
