Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
0,0,0,0,0,1257.21168852875,EDrightbutton,0,1,1.00,2.00,1,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
1,0,1,1,1,1261.1834333004085,EDleftbutton,1,0,1.50,2.00,1,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
2,0,2,2,2,1263.7680814117061,EDleftbutton,1,0,1.25,2.00,1,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
3,0,3,3,3,1266.926881332019,EDrightbutton,0,1,1.12,2.00,1,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
4,0,4,4,4,1269.2985766360953,EDrightbutton,0,1,1.18,2.00,1,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
5,0,5,5,5,1271.2583927270462,EDrightbutton,0,1,1.21,2.00,1,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
0,0,0,0,0,1274.124752301189,EDrightbutton,0,1,1.00,2.00,2,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
1,0,1,1,1,1279.4599782560786,EDleftbutton,1,0,1.50,2.00,2,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
2,0,2,2,2,1282.7516060122039,EDrightbutton,0,1,1.25,2.00,2,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
3,0,3,3,3,1285.9004877144275,EDrightbutton,0,1,1.38,2.00,2,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
4,0,4,4,4,1287.4979945098044,EDrightbutton,0,1,1.44,2.00,2,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
5,0,5,5,5,1289.1483504550406,EDrightbutton,0,1,1.47,2.00,2,3,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
0,0,0,0,0,1290.8600208585094,EDleftbutton,1,0,1.00,2.00,1,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
1,0,1,1,1,1293.8605411984436,EDrightbutton,0,1,0.50,2.00,1,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
2,0,2,2,2,1297.1919332553357,EDrightbutton,0,1,0.75,2.00,1,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
3,0,3,3,3,1298.8750757492398,EDrightbutton,0,1,0.88,2.00,1,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
4,0,4,4,4,1300.499719779943,EDrightbutton,0,1,0.94,2.00,1,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
5,0,5,5,5,1302.2269153690518,EDleftbutton,1,0,0.97,2.00,1,2,B03E01,2022-08-30_10h18.35.942,t2_paradigm,2021.1.4,60.023010284220646,
