Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
0,0,0,0,0,1260.99991530823,EDleftbutton,1,0,1.00,2.00,2,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
1,0,1,1,1,1267.7844007383583,EDrightbutton,0,1,0.50,2.00,2,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
2,0,2,2,2,1272.7195297296985,EDrightbutton,0,1,0.75,2.00,2,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
3,0,3,3,3,1276.7984794619251,EDleftbutton,1,0,0.88,2.00,2,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
4,0,4,4,4,1282.5628631079444,EDrightbutton,0,1,0.82,2.00,2,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
5,0,5,5,5,1285.6443250418806,EDleftbutton,1,0,0.85,2.00,2,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
0,0,0,0,0,1288.422073626662,EDrightbutton,0,1,2.00,1.00,1,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
1,0,1,1,1,1291.977342385087,EDrightbutton,0,1,2.00,0.50,1,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
2,0,2,2,2,1293.0612870069353,EDleftbutton,1,0,2.00,0.25,1,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
3,0,3,3,3,1296.0233245626023,EDleftbutton,1,0,2.00,0.38,1,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
4,0,4,4,4,1297.6181722874412,EDleftbutton,1,0,2.00,0.44,1,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
5,0,5,5,5,1299.2052046300737,EDleftbutton,1,0,2.00,0.47,1,3,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
0,0,0,0,0,1301.1630226749385,EDrightbutton,0,1,2.00,1.00,1,2,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
1,0,1,1,1,1307.297509035393,EDrightbutton,0,1,2.00,0.50,1,2,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
2,0,2,2,2,1309.443835561946,EDleftbutton,1,0,2.00,0.25,1,2,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
3,0,3,3,3,1310.313370135757,EDleftbutton,1,0,2.00,0.38,1,2,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
4,0,4,4,4,1311.99235945497,EDleftbutton,1,0,2.00,0.44,1,2,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
5,0,5,5,5,1314.7257353266696,EDleftbutton,1,0,2.00,0.47,1,2,B03I09,2022-09-29_12h20.01.110,t2_paradigm,2021.1.4,59.99006960904383,
