vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
0,0,0,0,0,1276.4682557250253,VS1rightbutton,0,1,3,1,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
1,0,1,1,1,1282.5768351773004,VS1leftbutton,1,0,1,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
2,0,2,2,2,1288.6277794245598,VS1leftbutton,1,0,2,1,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
3,0,3,3,3,1295.67209142074,VS1leftbutton,1,0,2,1,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
4,0,4,4,4,1300.6057612107306,VS1leftbutton,1,0,2,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
5,0,5,5,5,1304.9997953286165,VS1rightbutton,0,1,1,2,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
6,0,6,6,6,1309.0432995465144,VS1rightbutton,0,1,3,1,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
7,0,7,7,7,1320.301197359675,VS1leftbutton,1,0,2,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
8,0,8,8,8,1325.5846312963713,VS1leftbutton,1,0,2,3,B07R09,2022-11-24_10h59.58.920,t2_paradigm,2021.1.4,60.040563888355365,
