vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
0,0,0,0,0,1345.6216520284652,VS1rightbutton,0,1,2,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
1,0,1,1,1,1355.2321350089624,VS1rightbutton,0,1,2,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
2,0,2,2,2,1359.6996663016034,VS1leftbutton,1,0,3,2,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
3,0,3,3,3,1364.06502274808,VS1leftbutton,1,0,1,2,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
4,0,4,4,4,1369.9074780908413,VS1rightbutton,0,1,2,1,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
5,0,5,5,5,1375.0821070671082,VS1leftbutton,1,0,3,1,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
6,0,6,6,6,1378.4625774656888,VS1leftbutton,1,0,1,2,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
7,0,7,7,7,1381.7469910361688,VS1rightbutton,0,1,1,3,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
8,0,8,8,8,1384.3645249272813,VS1leftbutton,1,0,3,1,B08A08,2022-12-05_10h57.21.661,t2_paradigm,2021.1.4,60.0488915646245,
