Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
0,0,0,0,0,1446.174735049659,EDrightbutton,0,1,2.00,1.00,2,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
1,0,1,1,1,1460.6596535082208,EDrightbutton,0,1,2.00,0.50,2,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
2,0,2,2,2,1464.1098342480836,EDrightbutton,0,1,2.00,0.25,2,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
3,0,3,3,3,1466.29445705557,EDrightbutton,0,1,2.00,0.12,2,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
4,0,4,4,4,1467.2686719569028,EDrightbutton,0,1,2.00,0.06,2,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
5,0,5,5,5,1468.5226906429743,EDrightbutton,0,1,2.00,0.03,2,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
0,0,0,0,0,1471.9750069614383,EDrightbutton,0,1,1.00,2.00,1,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
1,0,1,1,1,1492.7361679821624,EDrightbutton,0,1,1.50,2.00,1,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
2,0,2,2,2,1496.4500691007706,EDrightbutton,0,1,1.75,2.00,1,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
3,0,3,3,3,1500.6549970678752,EDrightbutton,0,1,1.88,2.00,1,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
4,0,4,4,4,1504.2822043457418,EDrightbutton,0,1,1.94,2.00,1,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
5,0,5,5,5,1510.0423971862183,EDrightbutton,0,1,1.97,2.00,1,3,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
0,0,0,0,0,1513.825951787352,EDleftbutton,1,0,1.00,2.00,1,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
1,0,1,1,1,1519.311422025261,EDleftbutton,1,0,0.50,2.00,1,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
2,0,2,2,2,1521.1932924803114,EDleftbutton,1,0,0.25,2.00,1,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
3,0,3,3,3,1522.1607843351085,EDleftbutton,1,0,0.12,2.00,1,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
4,0,4,4,4,1523.3603106389637,EDleftbutton,1,0,0.06,2.00,1,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
5,0,5,5,5,1524.6094781578868,EDleftbutton,1,0,0.03,2.00,1,2,B09N05,2022-11-17_16h55.10.515,t2_paradigm,2021.1.4,59.974526306718744,
