vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
0,0,0,0,0,1258.2159721030353,VS1leftbutton,1,0,1,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
1,0,1,1,1,1264.951165554819,VS1leftbutton,1,0,1,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
2,0,2,2,2,1271.7653241626654,VS1rightbutton,0,1,2,1,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
3,0,3,3,3,1280.5163896271793,VS1rightbutton,0,1,3,1,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
4,0,4,4,4,1286.5978698729782,VS1rightbutton,0,1,3,2,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
5,0,5,5,5,1293.0014031890955,VS1rightbutton,0,1,2,1,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
6,0,6,6,6,1299.9323944520452,VS1leftbutton,1,0,2,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
7,0,7,7,7,1307.9001204612491,VS1rightbutton,0,1,3,2,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
8,0,8,8,8,1311.4308031124233,VS1rightbutton,0,1,2,1,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
