Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
0,0,0,0,0,1328.574974215518,EDleftbutton,1,0,1.00,2.00,2,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
1,0,1,1,1,1337.4369686111027,EDrightbutton,0,1,0.50,2.00,2,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
2,0,2,2,2,1340.4850433965262,EDrightbutton,0,1,0.75,2.00,2,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
3,0,3,3,3,1347.5106276977463,EDrightbutton,0,1,0.88,2.00,2,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
4,0,4,4,4,1354.4925937985713,EDleftbutton,1,0,0.94,2.00,2,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
5,0,5,5,5,1357.0090485486103,EDleftbutton,1,0,0.91,2.00,2,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
0,0,0,0,0,1361.7496103054514,EDleftbutton,1,0,1.00,2.00,1,2,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
1,0,1,1,1,1365.215243240295,EDrightbutton,0,1,0.50,2.00,1,2,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
2,0,2,2,2,1371.165447671537,EDrightbutton,0,1,0.75,2.00,1,2,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
3,0,3,3,3,1375.5581243974934,EDrightbutton,0,1,0.88,2.00,1,2,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
4,0,4,4,4,1379.2163468000776,EDleftbutton,1,0,0.94,2.00,1,2,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
5,0,5,5,5,1380.9478304945,EDleftbutton,1,0,0.91,2.00,1,2,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
0,0,0,0,0,1383.2322611587056,EDleftbutton,1,0,1.00,2.00,1,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
1,0,1,1,1,1387.0812197543614,EDleftbutton,1,0,0.50,2.00,1,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
2,0,2,2,2,1389.7415132563515,EDrightbutton,0,1,0.25,2.00,1,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
3,0,3,3,3,1391.8887958205883,EDrightbutton,0,1,0.38,2.00,1,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
4,0,4,4,4,1401.5748603307152,EDrightbutton,0,1,0.44,2.00,1,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
5,0,5,5,5,1403.4831875554387,EDrightbutton,0,1,0.47,2.00,1,3,B15D10,2023-01-17_11h10.47.319,t2_paradigm,2021.1.4,60.247683104910514,
