Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
0,0,0,0,0,1215.0719722621711,EDleftbutton,1,0,2.00,1.00,1,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
1,0,1,1,1,1222.638547831747,EDleftbutton,1,0,2.00,1.50,1,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
2,0,2,2,2,1228.968709288214,EDrightbutton,0,1,2.00,1.75,1,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
3,0,3,3,3,1231.199952072173,EDleftbutton,1,0,2.00,1.62,1,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
4,0,4,4,4,1234.034886582037,EDrightbutton,0,1,2.00,1.68,1,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
5,0,5,5,5,1240.444725003665,EDrightbutton,0,1,2.00,1.65,1,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
0,0,0,0,0,1245.1305667577853,EDleftbutton,1,0,1.00,2.00,1,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
1,0,1,1,1,1249.1428547597561,EDrightbutton,0,1,0.50,2.00,1,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
2,0,2,2,2,1253.3960320635242,EDrightbutton,0,1,0.75,2.00,1,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
3,0,3,3,3,1258.0924320549266,EDrightbutton,0,1,0.88,2.00,1,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
4,0,4,4,4,1260.4817016111,EDrightbutton,0,1,0.94,2.00,1,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
5,0,5,5,5,1264.2449846608497,EDrightbutton,0,1,0.97,2.00,1,2,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
0,0,0,0,0,1266.8058050415325,EDrightbutton,0,1,2.00,1.00,2,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
1,0,1,1,1,1269.9763421315438,EDleftbutton,1,0,2.00,0.50,2,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
2,0,2,2,2,1275.3968096877088,EDleftbutton,1,0,2.00,0.75,2,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
3,0,3,3,3,1283.7396931913295,EDleftbutton,1,0,2.00,0.88,2,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
4,0,4,4,4,1287.9461533748217,EDleftbutton,1,0,2.00,0.94,2,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
5,0,5,5,5,1293.595980927676,EDleftbutton,1,0,2.00,0.97,2,3,B20S10,2022-11-09_13h11.44.371,t2_paradigm,2021.1.4,60.022663598697186,
