vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
0,0,0,0,0,1259.3564990542764,VS1leftbutton,1,0,2,1,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
1,0,1,1,1,1276.12592807886,VS1rightbutton,0,1,1,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
2,0,2,2,2,1286.5050571155061,VS1rightbutton,0,1,1,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
3,0,3,3,3,1295.6701807267564,VS1rightbutton,0,1,1,2,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
4,0,4,4,4,1305.2993630164583,VS1leftbutton,1,0,3,1,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
5,0,5,5,5,1319.9539393146133,VS1rightbutton,0,1,2,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
6,0,6,6,6,1324.216717160829,VS1rightbutton,0,1,1,2,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
7,0,7,7,7,1331.548603679208,VS1rightbutton,0,1,2,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
8,0,8,8,8,1336.1137190137779,VS1rightbutton,0,1,2,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
