Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
0,0,0,0,0,1358.6398556778022,EDrightbutton,0,1,2.00,1.00,1,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
1,0,1,1,1,1372.8674117603277,EDrightbutton,0,1,2.00,0.50,1,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
2,0,2,2,2,1379.2366286709312,EDleftbutton,1,0,2.00,0.25,1,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
3,0,3,3,3,1383.0161080870203,EDleftbutton,1,0,2.00,0.38,1,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
4,0,4,4,4,1387.3217732497706,EDleftbutton,1,0,2.00,0.44,1,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
5,0,5,5,5,1394.3974394262514,EDleftbutton,1,0,2.00,0.47,1,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
0,0,0,0,0,1398.0533884342058,EDrightbutton,0,1,2.00,1.00,1,2,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
1,0,1,1,1,1403.118748861154,EDrightbutton,0,1,2.00,0.50,1,2,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
2,0,2,2,2,1410.4009098573315,EDleftbutton,1,0,2.00,0.25,1,2,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
3,0,3,3,3,1413.1672646407405,EDleftbutton,1,0,2.00,0.38,1,2,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
4,0,4,4,4,1416.3637026528995,EDleftbutton,1,0,2.00,0.44,1,2,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
5,0,5,5,5,1421.282992513774,EDleftbutton,1,0,2.00,0.47,1,2,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
0,0,0,0,0,1423.632013363309,EDrightbutton,0,1,2.00,1.00,2,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
1,0,1,1,1,1429.1658662668196,EDrightbutton,0,1,2.00,0.50,2,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
2,0,2,2,2,1432.2652464140792,EDleftbutton,1,0,2.00,0.25,2,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
3,0,3,3,3,1434.2953199546246,EDleftbutton,1,0,2.00,0.38,2,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
4,0,4,4,4,1436.6768444163845,EDleftbutton,1,0,2.00,0.44,2,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
5,0,5,5,5,1439.9460568999275,EDleftbutton,1,0,2.00,0.47,2,3,B21L11,2022-11-24_12h41.47.649,t2_paradigm,2021.1.4,60.072961894320485,
