vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.strat,VS1rightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
0,0,0,0,0,1257.174304533517,VS1leftbutton,1,0,1,2,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
1,0,1,1,1,1270.047562097665,VS1rightbutton,0,1,1,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
2,0,2,2,2,1275.2665277166525,VS1rightbutton,0,1,2,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
3,0,3,3,3,1280.1783302772092,VS1leftbutton,1,0,3,1,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
4,0,4,4,4,1283.7320225792937,VS1leftbutton,1,0,3,1,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
5,0,5,5,5,1288.965469840099,VS1rightbutton,0,1,2,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
6,0,6,6,6,1295.2484822859988,VS1leftbutton,1,0,2,1,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
7,0,7,7,7,1298.1450855707517,VS1rightbutton,0,1,2,1,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
8,0,8,8,8,1301.8656593699707,VS1rightbutton,0,1,2,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
