Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.strat,EDrightbutton.strat,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
0,0,0,0,0,1317.0452885741834,EDrightbutton,0,1,2.00,1.00,2,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
1,0,1,1,1,1322.5878326876555,EDleftbutton,1,0,2.00,0.50,2,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
2,0,2,2,2,1332.1312070366694,EDleftbutton,1,0,2.00,0.75,2,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
3,0,3,3,3,1336.4219026892679,EDleftbutton,1,0,2.00,0.88,2,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
4,0,4,4,4,1339.554493986303,EDleftbutton,1,0,2.00,0.94,2,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
5,0,5,5,5,1344.124697644147,EDleftbutton,1,0,2.00,0.97,2,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
0,0,0,0,0,1345.8812375128036,EDleftbutton,1,0,2.00,1.00,1,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
1,0,1,1,1,1359.8651329339482,EDleftbutton,1,0,2.00,1.50,1,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
2,0,2,2,2,1368.0421123140259,EDleftbutton,1,0,2.00,1.75,1,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
3,0,3,3,3,1371.217048185761,EDrightbutton,0,1,2.00,1.88,1,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
4,0,4,4,4,1374.0307215991197,EDleftbutton,1,0,2.00,1.82,1,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
5,0,5,5,5,1379.4158292666543,EDleftbutton,1,0,2.00,1.85,1,3,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
0,0,0,0,0,1383.0748357173288,EDleftbutton,1,0,1.00,2.00,1,2,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
1,0,1,1,1,1387.8147336638067,EDleftbutton,1,0,0.50,2.00,1,2,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
2,0,2,2,2,1392.8830785952741,EDleftbutton,1,0,0.25,2.00,1,2,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
3,0,3,3,3,1396.232163090608,EDleftbutton,1,0,0.12,2.00,1,2,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
4,0,4,4,4,1397.4064368270338,EDleftbutton,1,0,0.06,2.00,1,2,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
5,0,5,5,5,1401.172598187928,EDleftbutton,1,0,0.03,2.00,1,2,B27T02,2022-10-21_11h17.17.438,t2_paradigm,2021.1.4,60.04569130235341,
