Block,conds_view_File,n_reps,instr_1,TriggerBlockView,ImageFile,Trigger,conds_reg_File,TriggerBlockReg,instr_2,blocks_view.thisRepN,blocks_view.thisTrialN,blocks_view.thisN,blocks_view.thisIndex,trials_view.thisRepN,trials_view.thisTrialN,trials_view.thisN,trials_view.thisIndex,blocks_reg.thisRepN,blocks_reg.thisTrialN,blocks_reg.thisN,blocks_reg.thisIndex,trials_reg.thisRepN,trials_reg.thisTrialN,trials_reg.thisN,trials_reg.thisIndex,trials_choice.thisRepN,trials_choice.thisTrialN,trials_choice.thisN,trials_choice.thisIndex,Fix_jitter,image_view.started,image_view.lasted,image_view.stopped,slider_arousal.response,slider_arousal.rt,slider_effort.response,slider_effort.rt,image_reg.started,image_reg.lasted,image_reg.stopped,slider_utility.response,slider_utility.rt,resp_choice.keys,resp_choice.rt,key_resp.keys,key_resp.rt,image.started,image.lased,image.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7211.jpg,1,,,,0,0,0,0,0,0,0,16,,,,,,,,,,,,,4.6,161.03435150624682,6.027466127292428,None,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7150.jpg,1,,,,0,0,0,0,0,1,1,14,,,,,,,,,,,,,4.0,171.05773991598107,6.000954386729063,None,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7233.jpg,1,,,,0,0,0,0,0,2,2,18,,,,,,,,,,,,,3.4,180.49484679285888,6.011182525258846,None,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7002.jpg,1,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,4.1,190.63980225748492,6.003550318637281,None,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7235.jpg,1,,,,0,0,0,0,0,4,4,19,,,,,,,,,,,,,3.8,200.4760506675084,6.014947139807191,None,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7224.jpg,1,,,,0,0,0,0,0,5,5,17,,,,,,,,,,,,,4.7,211.21261651137138,6.007737108962829,None,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7006.jpg,1,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,3.5,220.7427477034562,6.015095992055649,None,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7100.jpg,1,,,,0,0,0,0,0,7,7,13,,,,,,,,,,,,,3.5,230.27579466730458,6.015116523401957,None,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7021.jpg,1,,,,0,0,0,0,0,8,8,10,,,,,,,,,,,,,4.1,240.41888723319244,6.011532199727299,None,,,,,,,,,,,,,,,,,B31N11,2023-01-17_12h40.59.291,t2_paradigm,2021.1.4,60.00032722037042,
