Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2465.1424146193312,2467.127565975359,left,1,0.9970755684189498,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
P,left,Pretarget,0,1,1,1,2468.6264930528705,2470.6273630680516,left,1,0.4893597977934405,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
B,left,Distractor,0,2,2,2,2472.125352120376,2474.1272278499673,left,1,0.46144103637197986,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
K,left,Pretarget,0,3,3,3,2475.6254206115846,2477.627226406359,left,1,0.6572845966438763,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
H,left,Distractor,0,4,4,4,2479.1253498747246,2481.1270449928124,left,1,0.6136516673723236,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
P,right,Target,0,5,5,5,2482.6254632782657,2484.627642486652,right,1,0.4733966874773614,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
L,left,Distractor,0,6,6,6,2486.125828511431,2488.127542877628,left,1,0.5890166358440183,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
K,right,Target,0,7,7,7,2489.6258662056644,2491.627594045538,right,1,0.736924669588916,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
Z,left,Pretarget,0,8,8,8,2493.1257771831006,2495.1270613537054,left,1,1.141527280851733,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
S,left,Pretarget,0,9,9,9,2496.625422215613,2498.627072742209,left,1,0.6816299438942224,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
N,left,Distractor,0,10,10,10,2500.1251936441404,2502.127619549283,left,1,0.4611083646886982,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
M,left,Distractor,0,11,11,11,2503.6253333534696,2505.627044832392,left,1,0.4654270019964315,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
Z,right,Target,0,12,12,12,2507.12535981962,2509.127327298629,left,0,0.8531772395945154,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
S,right,Target,0,13,13,13,2510.625348751957,2512.627144922677,left,0,1.3533839965239167,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
Q,left,Distractor,0,14,14,14,2514.125371047703,2516.1271097948193,left,1,1.213595783628989,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
V,left,Lure,0,15,15,15,2517.6259377445094,2519.6275523412623,left,1,0.6410808847867884,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
Z,right,Target,0,16,16,16,2521.1253713684855,2523.12720731867,right,1,0.6294569430756383,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
X,left,Distractor,0,17,17,17,2524.6253465063055,2526.6271356194047,left,1,0.8254503178759478,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
V,left,Pretarget,0,18,18,18,2528.125432000088,2530.1273099753307,left,1,0.7492835687589832,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
E,left,Distractor,0,19,19,19,2531.6255495740334,2533.6378080621944,left,1,1.1588570079766214,3,3.0,E12K08_neu,2021_Oct_07_1317,t1_Paradigm,2021.1.4,60.015267637035834,
