Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,2695.9791725814503,2697.9681642659452,left,1,0.42001399337823386,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
M,left,Pretarget,0,1,1,1,2699.4677332686606,2701.4679536595304,left,1,0.5681811401227606,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,left,Distractor,0,2,2,2,2702.967205710016,2704.967113960687,left,1,0.5728805664330139,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,left,Pretarget,0,3,3,3,2706.4674615494914,2708.4681214388984,left,1,0.7520163198314549,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
M,right,Target,0,4,4,4,2709.967579444172,2711.9683622006887,right,1,0.4676707122980588,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,left,Distractor,0,5,5,5,2713.467261689939,2715.4677053588985,left,1,0.8883134773041093,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,right,Target,0,6,6,6,2716.9672788528387,2718.967420326455,None,0,,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
J,left,Distractor,0,7,7,7,2720.4673399655912,2722.468129779747,left,1,0.6719165889517171,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
M,left,Lure,0,8,8,8,2723.9674979605024,2725.9694481149527,right,0,0.8025310624398116,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
F,left,Pretarget,0,9,9,9,2727.467365629738,2729.4677762561078,left,1,0.6645490536502621,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,left,Distractor,0,10,10,10,2730.96736418613,2732.967851804944,left,1,0.4603724701955798,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,left,Distractor,0,11,11,11,2734.467421770063,2736.467898802415,left,1,0.3843206170677149,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
F,right,Target,0,12,12,12,2737.967463955507,2739.967972426439,right,1,1.3962425762438215,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
F,left,Lure,0,13,13,13,2741.4674346021366,2743.467359534503,left,1,0.8246952623030666,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
S,left,Distractor,0,14,14,14,2744.967396587117,2746.9690047667955,left,1,0.6511164385610755,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
F,right,Target,0,15,15,15,2748.4672786924366,2750.4675269930704,right,1,1.0244938628984528,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,left,Pretarget,0,16,16,16,2751.9673805470247,2753.967547043185,left,1,1.268551890823801,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Z,left,Distractor,0,17,17,17,2755.4672270433402,2757.467632536878,left,1,1.0806146178510971,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
W,left,Distractor,0,18,18,18,2758.9673407675946,2760.9674629931014,left,1,0.4766300663832226,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,right,Target,0,19,19,19,2762.467268426779,2764.4694723354914,right,1,1.4544677913327178,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
V,left,Distractor,0,20,20,20,2765.967468446732,2767.9675691785123,left,1,0.9647397061889933,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
N,left,Distractor,0,21,21,21,2769.467390010679,2771.467535975522,left,1,1.1925083785426978,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,left,Pretarget,0,22,22,22,2772.967361619716,2774.967531965498,left,1,0.3647276440406131,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,left,Lure,0,23,23,23,2776.4673560056835,2778.4676979804553,left,1,0.4964601119791041,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
L,left,Pretarget,0,24,24,24,2779.9677860405645,2781.9677369578803,left,1,0.7565457211603643,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,right,Target,0,25,25,25,2783.4673399655912,2785.4675430331627,left,0,0.6647312691020488,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,left,Pretarget,0,26,26,26,2786.9673936999006,2788.9675133589917,left,1,0.6525706333504786,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
L,right,Target,0,27,27,27,2790.467494271281,2792.4687662506185,right,1,0.7353455308602861,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
F,left,Distractor,0,28,28,28,2793.967388567071,2795.9673911334867,left,1,0.8367628655178123,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,right,Target,0,29,29,29,2797.467370762568,2799.4678657598233,right,1,1.3681563742193248,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,left,Pretarget,0,30,30,30,2800.967311895429,2802.9678354440493,None,0,,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
X,left,Distractor,0,31,31,31,2804.46740380516,2806.4679260705725,left,1,0.9280672426339152,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
W,left,Distractor,0,32,32,32,2807.967343013208,2809.967877469091,left,1,1.076160284152138,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,right,Target,0,33,33,33,2811.4673829530384,2813.469138380766,left,0,0.7591916948258586,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
S,left,Distractor,0,34,34,34,2814.967299384156,2816.9676493789757,left,1,0.5723159551762365,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
D,left,Distractor,0,35,35,35,2818.467301469369,2820.4675071033544,left,1,0.9283995933510596,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,right,Target,0,36,36,36,2821.967318632267,2823.9675242662543,None,0,,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,left,Distractor,0,37,37,37,2825.467328095923,2827.467491704867,left,1,0.9366050630869722,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,left,Distractor,0,38,38,38,2828.9671598353525,2830.9802825558545,left,1,0.5437665152803675,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
K,left,Pretarget,0,39,39,39,2832.4672462914496,2834.4674397349663,left,1,0.32066968028084375,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,left,Lure,0,40,40,40,2835.9672214293078,2837.967486411635,left,1,0.6127761261832347,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Q,left,Pretarget,0,41,41,41,2839.4672058704164,2841.46747662718,left,1,0.6330212893735734,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
K,right,Target,0,42,42,42,2842.9672647375573,2844.9673908126842,left,0,0.8607302925811382,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Z,left,Distractor,0,43,43,43,2846.468039955229,2848.4677457799316,left,1,0.6083006195640337,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Q,right,Target,0,44,44,44,2849.9674267424907,2851.9679332886135,left,0,0.5324620996671001,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
W,left,Distractor,0,45,45,45,2853.467390010679,2855.4678763462853,left,1,0.9521787097291963,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
X,left,Distractor,0,46,46,46,2856.9673651485355,2858.9685970276423,left,1,0.5873423138600629,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,left,Distractor,0,47,47,47,2860.46735376007,2862.4677515543644,left,1,0.6722749246200692,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,left,Pretarget,0,48,48,48,2863.9672239957217,2865.9675072637565,left,1,0.5646074075084471,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Z,left,Pretarget,0,49,49,49,2867.4672026623994,2869.467477910386,left,1,0.4884750331148098,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
V,left,Distractor,0,50,50,50,2870.967226882938,2872.967487694843,left,1,0.5405171133352269,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,right,Target,0,51,51,51,2874.467284466871,2876.4676081559373,left,0,0.6566345511928375,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Z,right,Target,0,52,52,52,2877.9673513540565,2879.969071172778,left,0,0.5631801600738982,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
H,left,Distractor,0,53,53,53,2881.4673223214886,2883.468190732099,left,1,0.7600783911402686,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
L,left,Distractor,0,54,54,54,2884.9671778002557,2886.9672159756756,left,1,0.7331624742673739,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Z,right,Target,0,55,55,55,2888.467117008304,2890.467473098359,right,1,0.5285553747307858,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Z,left,Lure,0,56,56,56,2891.9672146924677,2893.9671444368632,left,1,0.9650957962439861,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
B,left,Distractor,0,57,57,57,2895.4670878153356,2897.467683865174,None,0,,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
J,left,Distractor,0,58,58,58,2898.967261850341,2900.9674992437103,left,1,0.6044420149046346,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
X,left,Pretarget,0,59,59,59,2902.4673592137024,2904.4680165366935,left,1,0.5602756201187731,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,left,Distractor,0,60,60,60,2905.967384075846,2907.9677424115125,left,1,0.4683363761396322,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
F,left,Distractor,0,61,61,61,2909.4673903314815,2911.4678538901553,left,1,0.872049785881245,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
X,right,Target,0,62,62,62,2912.9672827024606,2914.9678758650825,right,1,1.0201880604599864,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,left,Distractor,0,63,63,63,2916.4672767676257,2918.4683052583587,left,1,0.7517423550525564,2,3.0,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
