Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2243.363073181041,2245.361393140687,None,0,1,2.9699999999999998,,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
T,left,Pretarget,0,1,1,1,2246.8612078774895,2248.861134093022,None,0,1,2.9699999999999998,,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
B,left,Distractor,0,2,2,2,2250.361157030362,2252.3614486394217,left,1,1,2.9699999999999998,0.9817530998261645,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
T,right,Target,0,3,3,3,2253.860801742092,2255.861218143167,right,1,1,2.9699999999999998,1.2256204071163666,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
Z,left,Distractor,0,4,4,4,2257.3612452509406,2259.360927656904,left,1,1,2.9699999999999998,0.7822761355200782,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
T,right,Target,0,5,5,5,2260.8611847797292,2262.8612733211194,None,0,1,2.9699999999999998,,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
L,left,Distractor,0,6,6,6,2264.361258083023,2266.361395707092,left,1,1,2.9699999999999998,0.9174993351334706,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
T,right,Target,0,7,7,7,2267.861301230878,2269.861294173257,right,1,1,2.9699999999999998,1.4015838639170397,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
Z,left,Lure,0,8,8,8,2271.3613180730026,2273.3613427747623,left,1,1,2.9699999999999998,0.893595732311951,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
J,left,Distractor,0,9,9,9,2274.8614228148654,2276.8619290405186,left,1,1,2.9699999999999998,0.9131935299374163,F30T02,2021_Sep_22_0840,t1_Paradigm,2021.1.4,60.03202670812918,
