Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,191.11174683348509,193.11059740040218,None,0,1,,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
Q,left,Pretarget,0,1,1,1,194.608285541879,196.6085306344903,left,1,1,0.8078945485758595,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
Q,right,Target,0,2,2,2,198.1084204390645,200.1084775417694,right,1,1,0.6197955915122293,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
T,left,Distractor,0,3,3,3,201.6083660631557,203.60982442839304,left,1,1,0.6544008079217747,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
Q,left,Lure,0,4,4,4,205.10803387284977,207.10799698060146,left,1,1,1.0601387981441803,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
L,left,Distractor,0,5,5,5,208.60834168223664,210.60809049435193,left,1,1,0.8082487138453871,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
V,left,Pretarget,0,6,6,6,212.10844417841872,214.110365460685,left,1,1,0.5857867457089014,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
V,right,Target,0,7,7,7,215.60840167215792,217.60842958191643,right,1,1,0.6877436690847389,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
K,left,Distractor,0,8,8,8,219.1087463737349,221.11061889416305,left,1,1,0.7534503040951677,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
G,left,Pretarget,0,9,9,9,222.60908016806934,224.6100573305157,left,1,1,0.8700733256991953,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
G,right,Target,0,10,10,10,226.1083001383813,228.10842075984692,right,1,1,0.6517766487668268,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
G,right,Target,0,11,11,11,229.60834232380148,231.60858966206433,right,1,1,0.6875213533639908,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
P,left,Pretarget,0,12,12,12,233.1083395970054,235.11035455344245,left,1,1,0.5299473339691758,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
P,right,Target,0,13,13,13,236.60897302028025,238.6086628048797,right,1,1,0.8075009246822447,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
G,left,Lure,0,14,14,14,240.10885287995916,242.10851796285715,left,1,1,0.5396201513940468,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
Y,left,Distractor,0,15,15,15,243.60831377247814,245.60813187778695,left,1,1,0.624066426535137,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
B,left,Distractor,0,16,16,16,247.10817053442588,249.10789239924634,left,1,1,0.6283401487744413,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
T,left,Pretarget,0,17,17,17,250.60841386264656,252.60798976256046,left,1,1,0.45619178051128983,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
T,right,Target,0,18,18,18,254.10890067945002,256.1085609502625,right,1,1,0.7963867445942014,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
S,left,Distractor,0,19,19,19,257.6088357170811,259.61073935526656,left,1,1,0.6373665504506789,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
T,left,Lure,0,20,20,20,261.1083164992742,263.1089459125069,left,1,1,0.595302370202262,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
J,left,Distractor,0,21,21,21,264.60819828376407,266.6102895910735,left,1,1,0.5659124294179492,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
P,left,Distractor,0,22,22,22,268.10830687521957,270.12137409701245,left,1,1,0.5587178063578904,G24T03,2021_Oct_19_0957,t1_Paradigm,2021.1.4,59.94144669049767,
