Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
0,0,0,0,0,2421.0842614932917,2421.475429946673,EDleftbutton,1,0,1.00,1.00,1,2,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
1,0,1,1,1,None,2428.2063904370298,EDrightbutton,0,1,1.00,2.00,1,2,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
2,0,2,2,2,None,2432.81408057065,EDrightbutton,0,1,1.50,2.00,1,2,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
3,0,3,3,3,None,2439.330749916029,EDrightbutton,0,1,1.75,2.00,1,2,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
4,0,4,4,4,None,2443.6150679346174,EDrightbutton,0,1,1.88,2.00,1,2,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
5,0,5,5,5,None,2447.165219048329,EDrightbutton,0,1,1.94,2.00,1,2,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
6,0,6,6,6,None,2449.544470675348,EDrightbutton,0,1,1.97,2.00,1,2,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
0,0,0,0,0,2451.493888885132,2451.8403362773242,EDrightbutton,0,1,1.00,1.00,3,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
1,0,1,1,1,None,2460.0450700935908,EDleftbutton,1,0,2.00,1.00,3,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
2,0,2,2,2,None,2461.5112667214125,EDleftbutton,1,0,2.00,1.50,3,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
3,0,3,3,3,None,2463.5776197721716,EDleftbutton,1,0,2.00,1.75,3,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
4,0,4,4,4,None,2465.3946838000556,EDleftbutton,1,0,2.00,1.88,3,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
5,0,5,5,5,None,2466.2780880466453,EDleftbutton,1,0,2.00,1.94,3,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
6,0,6,6,6,None,2467.1446004717727,EDleftbutton,1,0,2.00,1.97,3,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
0,0,0,0,0,2467.8270714416285,2468.1497563990997,EDleftbutton,1,0,1.00,1.00,1,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
1,0,1,1,1,None,2473.7112074372126,EDleftbutton,1,0,1.00,2.00,1,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
2,0,2,2,2,None,2476.961267346982,EDleftbutton,1,0,0.50,2.00,1,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
3,0,3,3,3,None,2481.0613931333646,EDleftbutton,1,0,0.25,2.00,1,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
4,0,4,4,4,None,2487.2279624366784,EDrightbutton,0,1,0.12,2.00,1,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
5,0,5,5,5,None,2490.2946070963517,EDrightbutton,0,1,0.19,2.00,1,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
6,0,6,6,6,None,2497.794523848279,EDrightbutton,0,1,0.22,2.00,1,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
0,0,0,0,0,2500.0439575528144,2500.3674637630465,EDleftbutton,1,0,1.00,1.00,2,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
1,0,1,1,1,None,2505.2281606922043,EDleftbutton,1,0,1.00,2.00,2,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
2,0,2,2,2,None,2511.827639902476,EDrightbutton,0,1,0.50,2.00,2,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
3,0,3,3,3,None,2514.294412369607,EDrightbutton,0,1,0.75,2.00,2,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
4,0,4,4,4,None,2516.6114739914774,EDrightbutton,0,1,0.88,2.00,2,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
5,0,5,5,5,None,2517.894419940538,EDrightbutton,0,1,0.94,2.00,2,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
6,0,6,6,6,None,2519.111200507905,EDrightbutton,0,1,0.97,2.00,2,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
0,0,0,0,0,2520.2940694324207,2520.6170453572413,EDleftbutton,1,0,1.00,1.00,1,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
1,0,1,1,1,None,2523.644976291165,EDrightbutton,0,1,1.00,2.00,1,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
2,0,2,2,2,None,2528.0612051435164,EDrightbutton,0,1,1.50,2.00,1,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
3,0,3,3,3,None,2530.6279824547237,EDrightbutton,0,1,1.75,2.00,1,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
4,0,4,4,4,None,2531.7611643054406,EDrightbutton,0,1,1.88,2.00,1,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
5,0,5,5,5,None,2532.6778170973994,EDrightbutton,0,1,1.94,2.00,1,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
6,0,6,6,6,None,2533.6277543646283,EDrightbutton,0,1,1.97,2.00,1,3,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
0,0,0,0,0,2534.160527321277,2534.4845201878925,EDleftbutton,1,0,1.00,1.00,2,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
1,0,1,1,1,None,2539.0612073891098,EDleftbutton,1,0,1.00,2.00,2,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
2,0,2,2,2,None,2541.861154071812,EDleftbutton,1,0,0.50,2.00,2,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
3,0,3,3,3,None,2543.094584576029,EDrightbutton,0,1,0.25,2.00,2,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
4,0,4,4,4,None,2544.2439309904003,EDrightbutton,0,1,0.38,2.00,2,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
5,0,5,5,5,None,2545.344583854254,EDrightbutton,0,1,0.44,2.00,2,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
6,0,6,6,6,None,2545.877677291981,EDrightbutton,0,1,0.47,2.00,2,4,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
