Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,177.0541683548945,179.04600940144155,None,0,1,,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
Q,left,Pretarget,0,1,1,1,180.54405363294063,182.5460012209951,left,1,1,0.5599166428437456,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
Q,right,Target,0,2,2,2,184.0440310164122,186.04408074071398,right,1,1,0.501924650685396,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
T,left,Distractor,0,3,3,3,187.5441424950841,189.54624021833297,left,1,1,0.6798089560470544,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
Q,left,Lure,0,4,4,4,191.04399669059785,193.04420681582997,left,1,1,0.9097789707011543,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
L,left,Distractor,0,5,5,5,194.54405106650665,196.5449926199508,left,1,1,0.6409479823196307,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
V,left,Pretarget,0,6,6,6,198.0440075978986,200.04442848992767,left,1,1,0.5656740737031214,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
V,right,Target,0,7,7,7,201.54405363294063,203.54406133218436,right,1,1,0.6499650807236321,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
K,left,Distractor,0,8,8,8,205.04395274078706,207.04756432800787,left,1,1,0.490445398085285,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
G,left,Pretarget,0,9,9,9,208.54434748744825,210.54612280486617,left,1,1,0.5444151766132563,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
G,right,Target,0,10,10,10,212.04414233466377,214.044166074018,right,1,1,0.5979833112214692,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
G,right,Target,0,11,11,11,215.54407127702143,217.54405395372305,right,1,1,0.6178342089406215,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
P,left,Pretarget,0,12,12,12,219.04400791868102,221.04594812827418,left,1,1,0.7801763062598184,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
P,right,Target,0,13,13,13,222.54404080088716,224.5444273671019,right,1,1,0.6416245534201153,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
