Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2585.0582762226113,2587.042597673775,left,1,1.054089758428745,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
T,left,Pretarget,0,1,1,1,2588.542505763995,2590.542408561043,left,1,0.5465491505456157,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
B,left,Distractor,0,2,2,2,2592.0423564307275,2594.0424449720886,left,1,0.518372482387349,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
T,right,Target,0,3,3,3,2595.542367177608,2597.5423925209907,right,1,0.6503988048061728,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
Z,left,Distractor,0,4,4,4,2599.042451708927,2601.0424975835485,left,1,0.4623441183939576,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
T,right,Target,0,5,5,5,2602.5424313379917,2604.542386746558,right,1,0.6264419641811401,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
L,left,Distractor,0,6,6,6,2606.04245908733,2608.0449436976924,left,1,0.51589525048621,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
T,right,Target,0,7,7,7,2609.5428252826678,2611.542724230094,right,1,0.48994975921232253,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
Z,left,Lure,0,8,8,8,2613.0427429970005,2615.04287677136,left,1,0.509978381160181,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
J,left,Distractor,0,9,9,9,2616.5425099344575,2618.542847097211,left,1,0.4662546929321252,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
D,left,Pretarget,0,10,10,10,2620.0425822752877,2622.0428645808715,left,1,0.4699743903474882,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
H,left,Distractor,0,11,11,11,2623.5425256537274,2625.5449364796514,left,1,0.471816755423788,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
D,right,Target,0,12,12,12,2627.0425331925508,2629.044215477479,right,1,0.5884869348374195,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
S,left,Distractor,0,13,13,13,2630.5425532427034,2632.542806996964,left,1,0.4180202098796144,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
R,left,Pretarget,0,14,14,14,2634.042512982036,2636.0428055533557,left,1,0.5018816632218659,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
Z,left,Distractor,0,15,15,15,2637.5424810622935,2639.543169503042,left,1,0.7297279696213081,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
R,right,Target,0,16,16,16,2641.042373112461,2643.044244991266,right,1,0.5245540132164024,1,1.97,H02N01,2021_Oct_20_1009,t1_Paradigm,2021.1.4,59.98989645124489,
