Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
0,0,0,0,0,2390.069444662775,2390.455319812405,EDleftbutton,1,0,1.00,1.00,1,2,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
1,0,1,1,1,None,2393.0333685467485,EDrightbutton,0,1,1.00,2.00,1,2,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
2,0,2,2,2,None,2396.6515095180366,EDleftbutton,1,0,1.50,2.00,1,2,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
3,0,3,3,3,None,2398.9990866765147,EDrightbutton,0,1,1.25,2.00,1,2,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
4,0,4,4,4,None,2401.437968912418,EDrightbutton,0,1,1.38,2.00,1,2,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
5,0,5,5,5,None,2403.1355818563607,EDrightbutton,0,1,1.44,2.00,1,2,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
6,0,6,6,6,None,2404.418019515695,EDrightbutton,0,1,1.47,2.00,1,2,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
0,0,0,0,0,2406.7152852877043,2407.044828879414,EDleftbutton,1,0,1.00,1.00,1,4,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
1,0,1,1,1,None,2410.5658091735095,EDleftbutton,1,0,1.00,2.00,1,4,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
2,0,2,2,2,None,2411.282792787184,EDrightbutton,0,1,0.50,2.00,1,4,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
3,0,3,3,3,None,2413.332369857817,EDleftbutton,1,0,0.75,2.00,1,4,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
4,0,4,4,4,None,2414.5029034189647,EDrightbutton,0,1,0.62,2.00,1,4,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
5,0,5,5,5,None,2415.718294731807,EDrightbutton,0,1,0.69,2.00,1,4,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
6,0,6,6,6,None,2417.665859314846,EDrightbutton,0,1,0.72,2.00,1,4,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
0,0,0,0,0,2419.598554401775,2419.9295367907034,EDleftbutton,1,0,1.00,1.00,2,3,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
1,0,1,1,1,None,2424.199438788928,EDleftbutton,1,0,1.00,2.00,2,3,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
