Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,228.85028777550906,230.8319642036222,None,0,1,,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
Q,left,Pretarget,0,1,1,1,232.33379614376463,234.33078188763466,left,1,1,0.6127954466501251,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
Q,right,Target,0,2,2,2,235.8305831507314,237.83037815825082,right,1,1,0.6010929084150121,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
T,left,Distractor,0,3,3,3,239.33060993778054,241.33297489047982,left,1,1,0.6504800643306226,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
Q,left,Lure,0,4,4,4,242.8305991909001,244.83200462465174,left,1,1,0.5433835056610405,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
L,left,Distractor,0,5,5,5,246.3306814766256,248.33055315574165,left,1,1,0.5970575393876061,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
V,left,Pretarget,0,6,6,6,249.83069190266542,251.83268536662217,left,1,1,0.5507815219461918,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
V,right,Target,0,7,7,7,253.330610900186,255.330666719703,right,1,1,0.33326649956870824,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
K,left,Distractor,0,8,8,8,256.8306537272874,258.83136269974057,left,1,1,0.49625190917868167,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
G,left,Pretarget,0,9,9,9,260.3305069602793,262.3316506196279,left,1,1,0.5321762858657166,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
G,right,Target,0,10,10,10,263.83039772720076,265.83042242890224,right,1,1,0.5370364369591698,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
G,right,Target,0,11,11,11,267.33045948157087,269.33062918588985,right,1,1,0.38098612625617534,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
P,left,Pretarget,0,12,12,12,270.83078589767683,272.8324835821986,left,1,1,0.3989305100403726,H21R03,2021_Oct_13_1140,t1_Paradigm,2021.1.4,60.03422338814743,
