Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
0,0,0,0,0,2313.699694307754,2314.0903818090446,EDleftbutton,1,0,1.00,1.00,2,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
1,0,1,1,1,None,2319.2485920799663,EDleftbutton,1,0,1.00,2.00,2,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
2,0,2,2,2,None,2322.2899579011137,EDleftbutton,1,0,0.50,2.00,2,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
3,0,3,3,3,None,2325.603836407652,EDleftbutton,1,0,0.25,2.00,2,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
4,0,4,4,4,None,2328.1539599645184,EDrightbutton,0,1,0.12,2.00,2,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
5,0,5,5,5,None,2329.1239742755424,EDrightbutton,0,1,0.19,2.00,2,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
6,0,6,6,6,None,2334.087187582976,EDleftbutton,1,0,0.22,2.00,2,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
0,0,0,0,0,2335.5199983189814,2335.8444549525157,EDleftbutton,1,0,1.00,1.00,3,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
1,0,1,1,1,None,2339.2377508953214,EDleftbutton,1,0,1.00,2.00,3,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
2,0,2,2,2,None,2343.6871567217167,EDrightbutton,0,1,0.50,2.00,3,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
3,0,3,3,3,None,2344.790713871247,EDrightbutton,0,1,0.75,2.00,3,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
4,0,4,4,4,None,2348.1062550947536,EDrightbutton,0,1,0.88,2.00,3,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
5,0,5,5,5,None,2349.6737491205567,EDrightbutton,0,1,0.94,2.00,3,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
6,0,6,6,6,None,2351.620573613327,EDrightbutton,0,1,0.97,2.00,3,4,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
0,0,0,0,0,2353.720274722087,2354.048574885004,EDleftbutton,1,0,1.00,1.00,1,3,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
1,0,1,1,1,None,2356.420454082545,EDleftbutton,1,0,1.00,2.00,1,3,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
2,0,2,2,2,None,2358.8537877259078,EDleftbutton,1,0,0.50,2.00,1,3,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
3,0,3,3,3,None,2359.5539670863654,EDleftbutton,1,0,0.25,2.00,1,3,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
4,0,4,4,4,None,2360.1874420752283,EDrightbutton,0,1,0.12,2.00,1,3,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
