Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,244.508514567744,246.51503711519763,None,0,1,,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Q,left,Pretarget,0,1,1,1,248.00210799032357,250.0040190081345,left,1,1,0.7996918375138193,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Q,right,Target,0,2,2,2,251.50184926344082,253.50205970962998,right,1,1,0.6777957177255303,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
T,left,Distractor,0,3,3,3,255.00209644145798,257.0027082109591,left,1,1,0.4250855017453432,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Q,left,Lure,0,4,4,4,258.5021257948829,260.5023750580149,left,1,1,0.7974882482085377,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
L,left,Distractor,0,5,5,5,262.00208457175177,264.00301714334637,left,1,1,0.5447350448230281,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
V,left,Pretarget,0,6,6,6,265.5022451331606,267.5040377750993,left,1,1,0.6437634315807372,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
V,right,Target,0,7,7,7,269.0020425467519,271.0019892936107,right,1,1,0.6657056505791843,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
K,left,Distractor,0,8,8,8,272.50189802539535,274.5025473287096,left,1,1,0.4132889686152339,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
G,left,Pretarget,0,9,9,9,276.00194213562645,278.00244387006387,left,1,1,0.4653111924417317,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
G,right,Target,0,10,10,10,279.5018794188509,281.5022826670902,right,1,1,0.6300260459538549,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
G,right,Target,0,11,11,11,283.00277205056045,285.0024297548225,right,1,1,0.4572959530632943,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
P,left,Pretarget,0,12,12,12,286.50281744403765,288.50309333379846,left,1,1,0.9406724716536701,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
P,right,Target,0,13,13,13,290.00279258191586,292.00230271718465,right,1,1,0.8333699583308771,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
G,left,Lure,0,14,14,14,293.50219893769827,295.50154642632697,left,1,1,0.7101556628476828,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Y,left,Distractor,0,15,15,15,297.00275986013,299.0028371734079,left,1,1,0.6168933721492067,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
B,left,Distractor,0,16,16,16,300.5022756094113,302.5019224063726,left,1,1,0.4617085853824392,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
