Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2409.6330297156237,2411.6192705153953,None,0,1,3.0,,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
T,left,Pretarget,0,1,1,1,2413.1187618836993,2415.1192995479796,None,0,1,3.0,,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
B,left,Distractor,0,2,2,2,2416.618607417564,2418.6191579138394,left,1,1,3.0,0.6810226655798033,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
T,right,Target,0,3,3,3,2420.1187442395603,2422.119400921394,right,1,1,3.0,1.2605640919646248,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Z,left,Distractor,0,4,4,4,2423.6187283599284,2425.619426746038,left,1,1,3.0,0.6886105966987088,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
T,right,Target,0,5,5,5,2427.118846254656,2429.119286715868,None,0,1,3.0,,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
L,left,Distractor,0,6,6,6,2430.6188351870514,2432.63179334451,left,1,1,3.0,0.6525396135402843,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
T,right,Target,0,7,7,7,2434.118724349886,2436.1190066556446,right,1,1,3.0,0.6209434980992228,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Z,left,Lure,0,8,8,8,2437.619428350008,2439.618433863623,left,1,1,3.0,0.49784244573675096,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
J,left,Distractor,0,9,9,9,2441.119522184599,2443.1186669262825,left,1,1,3.0,0.677551266620867,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
D,left,Pretarget,0,10,10,10,2444.618850585539,2446.618500590441,left,1,1,3.0,0.6336873598629609,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
H,left,Distractor,0,11,11,11,2448.118900149362,2450.1206526909955,left,1,1,3.0,0.5553163797594607,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
D,right,Target,0,12,12,12,2451.618791878689,2453.619046274689,right,1,1,3.0,0.7689965344034135,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
S,left,Distractor,0,13,13,13,2455.118687457638,2457.1190550967585,left,1,1,3.0,0.581166930263862,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
R,left,Pretarget,0,14,14,14,2458.618840319803,2460.6190016833134,left,1,1,3.0,0.8249851549044251,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Z,left,Distractor,0,15,15,15,2462.118757071672,2464.11899703159,left,1,1,3.0,0.6529794329544529,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
R,right,Target,0,16,16,16,2465.6194883399876,2467.6185692420695,right,1,1,3.0,0.8014507952611893,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
T,left,Distractor,0,17,17,17,2469.1188372721663,2471.1194589865627,left,1,1,3.0,0.7725394723238423,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
M,left,Distractor,0,18,18,18,2472.6186119087506,2474.6194379740627,left,1,1,3.0,0.6967778962571174,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
R,left,Lure,0,19,19,19,2476.118769582943,2478.1191227859817,left,1,1,3.0,0.5568389063701034,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
J,left,Distractor,0,20,20,20,2479.618694675737,2481.635432202136,left,1,1,3.0,0.5767048945417628,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
K,left,Distractor,0,21,21,21,2483.1186858536676,2485.1193447810365,left,1,1,3.0,0.5327742608496919,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Z,left,Distractor,0,22,22,22,2486.618865342345,2488.6193362798076,left,1,1,3.0,0.6327499762410298,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
W,left,Pretarget,0,23,23,23,2490.1186675679637,2492.119005693239,left,1,1,3.0,0.7169707816792652,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Q,left,Distractor,0,24,24,24,2493.6187828963157,2495.6193202397553,left,1,1,3.0,0.6728434964315966,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
W,right,Target,0,25,25,25,2497.1186733423965,2499.1191311269067,right,1,1,3.0,0.7728480838704854,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
D,left,Pretarget,0,26,26,26,2500.6189166706754,2502.620045252377,left,1,1,3.0,0.6321163921384141,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
W,right,Target,0,27,27,27,2504.118948269752,2506.1184215127723,right,1,1,3.0,0.7978372809011489,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
D,right,Target,0,28,28,28,2507.618831337313,2509.62065926753,right,1,1,3.0,0.70330493489746,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
L,left,Pretarget,0,29,29,29,2511.1185652320273,2513.119002164458,left,1,1,3.0,0.5494832360418513,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
P,left,Distractor,0,30,30,30,2514.6186045303475,2516.618614795967,left,1,1,3.0,0.6498249864671379,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
L,right,Target,0,31,31,31,2518.118682966451,2520.1190117885126,right,1,1,3.0,0.5889572873711586,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
R,left,Distractor,0,32,32,32,2521.6186568210833,2523.619010024122,left,1,1,3.0,0.5610308268805966,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
V,left,Distractor,0,33,33,33,2525.1188661444467,2527.118343557813,left,1,1,3.0,0.613887777668424,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
L,left,Lure,0,34,34,34,2528.6188124100445,2530.6199361796025,left,1,1,3.0,0.7920596358599141,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
H,left,Distractor,0,35,35,35,2532.119435567991,2534.1188379138475,left,1,1,3.0,0.5891587511869147,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
K,left,Pretarget,0,36,36,36,2535.618684410001,2537.61880438996,left,1,1,3.0,0.4974266862263903,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
F,left,Distractor,0,37,37,37,2539.1189293423668,2541.119790695957,left,1,1,3.0,0.5162606543162838,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
K,right,Target,0,38,38,38,2542.618905763491,2544.6209922600538,right,1,1,3.0,0.6951671491842717,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
S,left,Pretarget,0,39,39,39,2546.118809362408,2548.1201660343213,left,1,1,3.0,0.5079483521403745,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
W,left,Distractor,0,40,40,40,2549.619354244671,2551.6191033775685,left,1,1,3.0,0.5131033203797415,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
S,right,Target,0,41,41,41,2553.11869291123,2555.119024941465,right,1,1,3.0,0.6293039205484092,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
F,left,Pretarget,0,42,42,42,2556.618838074268,2558.6189253323246,left,1,1,3.0,0.47305246687028557,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
Y,left,Distractor,0,43,43,43,2560.118610785925,2562.1194143950706,None,0,1,3.0,,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
F,right,Target,0,44,44,44,2563.6186754276277,2565.6188229965046,right,1,1,3.0,0.8172140457900241,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
F,left,Lure,0,45,45,45,2567.1188167409273,2569.118745843647,left,1,1,3.0,0.6933424270246178,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
B,left,Pretarget,0,46,46,46,2570.6188050316414,2572.6185313874157,left,1,1,3.0,0.6175330514088273,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
W,left,Distractor,0,47,47,47,2574.118749693269,2576.1209754179,left,1,1,3.0,0.6511319340206683,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
B,right,Target,0,48,48,48,2577.618825242156,2579.6197478688555,right,1,1,3.0,0.7363581331446767,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
R,left,Pretarget,0,49,49,49,2581.1188013423234,2583.118560099276,left,1,1,3.0,0.6136295320466161,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
N,left,Distractor,0,50,50,50,2584.6189907760127,2586.6200086809695,left,1,1,3.0,0.7600060567492619,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
R,right,Target,0,51,51,51,2588.118824760895,2590.1199401896447,right,1,1,3.0,0.876248361193575,M05D02,2021_Oct_07_1538,t1_Paradigm,2021.1.4,60.003715103474455,
