Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,306.1004460110562,308.09299410006497,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
Q,left,Pretarget,0,1,1,1,309.58969320729375,311.5913921750616,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
Q,right,Target,0,2,2,2,313.0898062901106,315.0896619291743,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
T,left,Distractor,0,3,3,3,316.58983981388155,318.5912394732004,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
Q,left,Lure,0,4,4,4,320.0897039541742,322.0900045457529,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
L,left,Distractor,0,5,5,5,323.59076372382697,325.5932541101938,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
V,left,Pretarget,0,6,6,6,327.08996989915613,329.0917763354955,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
V,right,Target,0,7,7,7,330.5900047061732,332.5899357337039,right,1,1,1.3177403217414394,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
K,left,Distractor,0,8,8,8,334.09000679128803,336.0917500297073,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
G,left,Pretarget,0,9,9,9,337.5899485658156,339.59259357873816,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
G,right,Target,0,10,10,10,341.08969625493046,343.08990702196024,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
G,right,Target,0,11,11,11,344.5899610770866,346.58974164840765,right,1,1,0.9981229871045798,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
P,left,Pretarget,0,12,12,12,348.08965070103295,350.0915354131721,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
P,right,Target,0,13,13,13,351.5898962750798,353.58963738777675,left,0,1,0.973973008338362,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
G,left,Lure,0,14,14,14,355.08971935266163,357.09132079652045,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
Y,left,Distractor,0,15,15,15,358.5897454980295,360.5924209872028,None,0,1,,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
B,left,Distractor,0,16,16,16,362.0898566560354,364.0917140998645,left,1,1,0.871934856637381,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
