Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
0,0,0,0,0,2590.003811446775,2590.3888647753047,EDleftbutton,1,0,1.00,1.00,1,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
1,0,1,1,1,None,2600.1572650872404,EDrightbutton,0,1,1.00,2.00,1,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
2,0,2,2,2,None,2635.174810382072,EDrightbutton,0,1,1.50,2.00,1,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
3,0,3,3,3,None,2638.216871033481,EDrightbutton,0,1,1.75,2.00,1,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
4,0,4,4,4,None,2640.067272789718,EDrightbutton,0,1,1.88,2.00,1,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
5,0,5,5,5,None,2642.702152484213,EDleftbutton,1,0,1.94,2.00,1,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
6,0,6,6,6,None,2644.647225432913,EDleftbutton,1,0,1.91,2.00,1,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
0,0,0,0,0,2648.0468611303368,2648.3772649011808,EDleftbutton,1,0,1.00,1.00,2,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
1,0,1,1,1,None,2652.2665590697434,EDrightbutton,0,1,1.00,2.00,2,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
2,0,2,2,2,None,2653.7971752755693,EDleftbutton,1,0,1.50,2.00,2,3,R27R01,2021_Oct_19_1358,t1_Paradigm,2021.1.4,60.00467764822241,
