Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,84.81519555932937,86.8015839280738,left,1,1,1.1882460051324415,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
Q,left,Pretarget,0,1,1,1,88.29930575226945,90.29943407309202,left,1,1,0.4590067904168791,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
Q,right,Target,0,2,2,2,91.79540175164357,93.79540078923719,right,1,1,0.5783098671977314,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
T,left,Distractor,0,3,3,3,95.2953929295868,97.29790480968904,left,1,1,0.3718480796951553,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
Q,left,Lure,0,4,4,4,98.79528979172574,100.79625668912377,left,1,1,0.4574589204944459,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
L,left,Distractor,0,5,5,5,102.29541538573085,104.29726288477377,left,1,1,0.44460791091478313,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
V,left,Pretarget,0,6,6,6,105.79538891956099,107.79709847371987,left,1,1,0.44861216218305344,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
V,right,Target,0,7,7,7,109.29548884940141,111.29517927541747,right,1,1,0.42254507028246735,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
K,left,Distractor,0,8,8,8,112.79597181689769,114.79818727590009,left,1,1,0.4715831934372545,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
G,left,Pretarget,0,9,9,9,116.29536919023485,118.29742809783329,left,1,1,0.4444597003639501,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
G,right,Target,0,10,10,10,119.79542581179794,121.79543928548355,right,1,1,0.46646960865746223,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
G,right,Target,0,11,11,11,123.29536566141178,125.29556167146893,right,1,1,0.4702733586400427,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
P,left,Pretarget,0,12,12,12,126.79539726041457,128.7990114163831,left,1,1,0.48671542644024157,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
P,right,Target,0,13,13,13,130.29557514515454,132.29540223284675,right,1,1,0.4782918060418524,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
G,left,Lure,0,14,14,14,133.7954068844765,135.79615563647621,left,1,1,0.5137651350405577,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
Y,left,Distractor,0,15,15,15,137.29538811755629,139.29720321559125,left,1,1,0.5165760026584394,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
B,left,Distractor,0,16,16,16,140.79542420778762,142.7982799876936,left,1,1,0.45546609811935923,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
T,left,Pretarget,0,17,17,17,144.29539260878482,146.29748038856815,left,1,1,0.524298991366777,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
T,right,Target,0,18,18,18,147.7959628344397,149.79564010757167,right,1,1,0.41818344552302733,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
S,left,Distractor,0,19,19,19,151.2961673457512,153.29890474969943,left,1,1,0.45090910490762326,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
T,left,Lure,0,20,20,20,154.79542099976698,156.796369290646,left,1,1,0.5534942241192766,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
J,left,Distractor,0,21,21,21,158.29541185690778,160.29732768678969,left,1,1,0.49241255016204377,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
P,left,Distractor,0,22,22,22,161.79536806742726,163.79593332065087,left,1,1,0.4179152550041181,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
F,left,Distractor,0,23,23,23,165.29538202231652,167.30862184398939,left,1,1,0.39326161696499184,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
L,left,Distractor,0,24,24,24,168.79542741580826,170.7958242479517,left,1,1,0.39396866469633096,C02N10,2021_Oct_01_1339,t1_Paradigm,2021.1.4,60.0129567845193,
