Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2772.869424343575,2774.8632132989005,left,1,0.39008863433264196,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
P,left,Pretarget,0,1,1,1,2776.3615841067513,2778.3607063928503,left,1,0.4606242996524088,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
B,left,Distractor,0,2,2,2,2779.862162993639,2781.8636104516336,left,1,0.4780557098565623,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
K,left,Pretarget,0,3,3,3,2783.3620300213224,2785.363545168424,left,1,0.6257785459747538,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
H,left,Distractor,0,4,4,4,2786.8615239563514,2788.861027996696,left,1,0.6484261942678131,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
P,right,Target,0,5,5,5,2790.36133901414,2792.3612074853736,right,1,0.7968137318384834,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
L,left,Distractor,0,6,6,6,2793.861944527598,2795.8637140706414,left,1,1.4535631301114336,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
K,right,Target,0,7,7,7,2797.36150968069,2799.3633077750565,None,0,,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
Z,left,Pretarget,0,8,8,8,2800.861443435133,2802.8626268731314,None,0,,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
S,left,Pretarget,0,9,9,9,2804.361310783541,2806.362292437232,left,1,0.6830830597900786,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
N,left,Distractor,0,10,10,10,2807.8620510338224,2809.8636078851996,left,1,0.717685068200808,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
M,left,Distractor,0,11,11,11,2811.3620117356186,2813.363575965399,left,1,0.9618983641848899,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
Z,right,Target,0,12,12,12,2814.862057449878,2816.8634654491907,right,1,0.789812873059418,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
S,right,Target,0,13,13,13,2818.3616517959163,2820.361054783687,None,0,,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
Q,left,Distractor,0,14,14,14,2821.862000347115,2823.863698672096,left,1,1.1496508553391322,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
V,left,Lure,0,15,15,15,2825.3613932296284,2827.363658732269,left,1,0.6095238370471634,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
Z,right,Target,0,16,16,16,2828.8614877057844,2830.862270141486,left,0,0.7270062867319211,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
X,left,Distractor,0,17,17,17,2832.361288648215,2834.363784807443,left,1,0.6175669810618274,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
V,left,Pretarget,0,18,18,18,2835.8614334902377,2837.8623907629517,left,1,1.342843183374498,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
E,left,Distractor,0,19,19,19,2839.3612995554577,2841.365760946821,left,1,1.0395972140249796,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
R,left,Distractor,0,20,20,20,2842.8620853596367,2844.863681028015,left,1,0.7417487357743084,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
G,left,Distractor,0,21,21,21,2846.361316878756,2848.3610294403043,left,1,1.0522813984425738,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
V,right,Target,0,22,22,22,2849.861966983706,2851.863654722285,left,0,1.1178244244656526,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
T,left,Pretarget,0,23,23,23,2853.361396758468,2855.3635881558876,left,1,0.8017191129620187,3,3.0,D17T06,2021_Oct_18_1005,t1_Paradigm,2021.1.4,59.95943319077199,
