Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
0,0,0,0,0,2521.8877979487297,2522.250161924734,EDleftbutton,1,0,1.00,1.00,2,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
1,0,1,1,1,None,2544.2285440504256,EDleftbutton,1,0,1.00,2.00,2,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
2,0,2,2,2,None,2552.0059672352236,EDrightbutton,0,1,0.50,2.00,2,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
3,0,3,3,3,None,2554.83885032316,EDrightbutton,0,1,0.75,2.00,2,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
4,0,4,4,4,None,2559.072372576702,EDrightbutton,0,1,0.88,2.00,2,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
5,0,5,5,5,None,2566.0104754636304,EDrightbutton,0,1,0.94,2.00,2,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
6,0,6,6,6,None,2567.2194717740895,EDrightbutton,0,1,0.97,2.00,2,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
0,0,0,0,0,2568.2357877562117,2568.5604450034953,EDleftbutton,1,0,1.00,1.00,1,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
1,0,1,1,1,None,2576.235921530584,EDrightbutton,0,1,1.00,2.00,1,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
2,0,2,2,2,None,2581.4193919585887,EDleftbutton,1,0,1.50,2.00,1,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
3,0,3,3,3,None,2583.769330637315,EDrightbutton,0,1,1.25,2.00,1,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
4,0,4,4,4,None,2585.1439546976453,EDrightbutton,0,1,1.38,2.00,1,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
5,0,5,5,5,None,2587.5693151746655,EDrightbutton,0,1,1.44,2.00,1,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
6,0,6,6,6,None,2588.5033441988926,EDrightbutton,0,1,1.47,2.00,1,3,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
0,0,0,0,0,2590.885522501203,2591.2057161115354,EDrightbutton,0,1,1.00,1.00,3,4,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
1,0,1,1,1,None,2600.8528096948885,EDleftbutton,1,0,2.00,1.00,3,4,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
2,0,2,2,2,None,2604.535970388706,EDrightbutton,0,1,2.00,1.50,3,4,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
3,0,3,3,3,None,2606.0528691073905,EDleftbutton,1,0,2.00,1.25,3,4,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
