Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,134.5351895570011,136.52067231085402,None,0,1,,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Q,left,Pretarget,0,1,1,1,138.01912845194784,140.0211427667682,left,1,1,0.6881565410376425,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Q,right,Target,0,2,2,2,141.51903750462316,143.518760011023,right,1,1,0.7105244500735353,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,left,Distractor,0,3,3,3,145.01914000081524,147.02104780942045,left,1,1,0.9843272255866395,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Q,left,Lure,0,4,4,4,148.5189454344927,150.51895441694433,left,1,1,0.7824620194669478,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
L,left,Distractor,0,5,5,5,152.01898088309736,154.0194973740763,left,1,1,0.7378019106317879,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
V,left,Pretarget,0,6,6,6,155.51888255732956,157.51944748938877,left,1,1,0.5982454063587284,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
V,right,Target,0,7,7,7,159.01891960994362,161.0190828980858,left,0,1,0.474223731701386,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
K,left,Distractor,0,8,8,8,162.51909107853226,164.52137197969114,left,1,1,0.699870941415611,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,left,Pretarget,0,9,9,9,166.0191249231275,168.0212787867531,left,1,1,0.6240965818878976,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,right,Target,0,10,10,10,169.51899066755323,171.51904873268813,right,1,1,0.6304744434810345,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,right,Target,0,11,11,11,173.01900847205616,175.01902258733753,right,1,1,0.5062407188015641,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,left,Pretarget,0,12,12,12,176.51897077783906,178.5207355088187,left,1,1,0.4447439664390913,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,right,Target,0,13,13,13,180.0187656250555,182.01886667763847,right,1,1,0.7383402161367485,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,left,Lure,0,14,14,14,183.51888191572561,185.51935317364496,left,1,1,0.63013567672715,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Y,left,Distractor,0,15,15,15,187.01894431168603,189.0207430476621,left,1,1,0.6806741586733551,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
B,left,Distractor,0,16,16,16,190.51909556975897,192.51973589025238,left,1,1,0.7496510477876654,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,left,Pretarget,0,17,17,17,194.01906942440746,196.01941268238807,left,1,1,0.609983866874245,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,right,Target,0,18,18,18,197.51908209608064,199.51906926400716,right,1,1,0.5343124847422587,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
S,left,Distractor,0,19,19,19,201.0191063166203,203.0207776942625,left,1,1,0.5684499720746317,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,left,Lure,0,20,20,20,204.51897655227185,206.51914144442344,left,1,1,0.8781013919915495,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
J,left,Distractor,0,21,21,21,208.01892153475455,210.02116458129422,left,1,1,0.592235504488599,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,left,Distractor,0,22,22,22,211.51899644198693,213.51933392553383,left,1,1,0.6300946140900123,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
F,left,Distractor,0,23,23,23,215.01901585049836,217.0210080299912,left,1,1,0.6324399964196346,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
L,left,Distractor,0,24,24,24,218.518849835541,220.51916614616584,left,1,1,0.5421089321180261,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
W,left,Pretarget,0,25,25,25,222.01891255230294,224.02076389978265,left,1,1,0.5927003463693836,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
W,right,Target,0,26,26,26,225.51895505854827,227.53632423314684,right,1,1,0.6610118924454582,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
V,left,Distractor,0,27,27,27,229.0190078304522,231.01926158471633,left,1,1,0.5379757210748721,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
W,left,Lure,0,28,28,28,232.51902595575666,234.51933103831652,left,1,1,0.8620532794129758,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,left,Pretarget,0,29,29,29,236.01901168007498,238.02096825056196,left,1,1,0.5284726078525637,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,right,Target,0,30,30,30,239.51892907359797,241.5188787077077,right,1,1,0.6783268515318923,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
G,left,Distractor,0,31,31,31,243.01891255230294,245.01922276769255,left,1,1,0.4740472906842115,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,left,Lure,0,32,32,32,246.51913117876393,248.5193352087408,left,1,1,0.7340235064348235,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
S,left,Distractor,0,33,33,33,250.01913743440036,252.01931419621997,left,1,1,0.5301353238446609,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,left,Lure,0,34,34,34,253.51887999091468,255.51900959486284,left,1,1,0.5022374325071723,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,left,Pretarget,0,35,35,35,257.01886058240325,259.0190992589796,left,1,1,0.6020777052663107,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
P,right,Target,0,36,36,36,260.518816151347,262.5193913490648,left,0,1,1.3419722063690642,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Y,left,Pretarget,0,37,37,37,264.0189295548007,266.0197200105604,left,1,1,0.6415677714758203,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Y,right,Target,0,38,38,38,267.5189656450093,269.5189698154327,right,1,1,0.7583024320947516,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
J,left,Distractor,0,39,39,39,271.01905787554097,273.01937194055245,left,1,1,0.6981026816147278,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Y,left,Lure,0,40,40,40,274.51890565506255,276.5192842012466,left,1,1,0.5739642350845315,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
T,left,Distractor,0,41,41,41,278.0193337651326,280.02110844097024,left,1,1,0.5608755195789854,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
V,left,Distractor,0,42,42,42,281.51885208115345,283.51929093808576,left,1,1,0.5180510389327537,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
N,left,Pretarget,0,43,43,43,285.0189077402747,287.02073951884176,left,1,1,0.5044458324473453,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
N,right,Target,0,44,44,44,288.5188889733663,290.5189351688332,right,1,1,0.638289497363985,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
N,right,Target,0,45,45,45,292.0188798305144,294.019012321678,right,1,1,0.6902844197129525,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
X,left,Distractor,0,46,46,46,295.5189698154327,297.5208923809241,left,1,1,0.564515978979216,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Z,left,Distractor,0,47,47,47,299.0189962815857,301.021369894479,left,1,1,0.5197923513778733,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
H,left,Pretarget,0,48,48,48,302.51893581043714,304.5199610931513,left,1,1,0.6372298888518344,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
H,right,Target,0,49,49,49,306.0190408730432,308.01900045201,right,1,1,0.610344768957475,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
K,left,Distractor,0,50,50,50,309.5189018054407,311.52075219051494,left,1,1,0.6286477977428149,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
V,left,Pretarget,0,51,51,51,313.0190630083707,315.0206397494667,left,1,1,0.5365443032169424,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
V,right,Target,0,52,52,52,316.5190237101442,318.5189890635438,right,1,1,0.7501312881568083,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
R,left,Distractor,0,53,53,53,320.0189725422488,322.0188641112236,left,1,1,0.5305376093656378,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
V,left,Lure,0,54,54,54,323.5188325122408,325.51884598591914,left,1,1,0.6783265307303736,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Y,left,Distractor,0,55,55,55,327.0186398707301,329.0319576387574,left,1,1,0.5411702659030198,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Q,left,Distractor,0,56,56,56,330.5188697252561,332.5192158704522,left,1,1,0.5101108723274592,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Z,left,Pretarget,0,57,57,57,334.0190726324263,336.01923559976603,left,1,1,0.546164829915142,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
Z,right,Target,0,58,58,58,337.5189916299587,339.5189252239761,right,1,1,0.6464484508323949,F07I10,2021_Oct_14_1439,t1_Paradigm,2021.1.4,60.06723191056357,
