Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,3019.9814076079056,3021.9661781816976,left,1,0.4884317248361185,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
P,left,Pretarget,0,1,1,1,3023.464665761334,3025.465730181895,left,1,0.4289502496831119,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
B,left,Distractor,0,2,2,2,3026.96428641316,3028.963934493542,left,1,0.6266777535784058,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
K,left,Pretarget,0,3,3,3,3030.46486786654,3032.4665469434112,left,1,1.0600646928651258,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
H,left,Distractor,0,4,4,4,3033.9641561675817,3035.966191655374,left,1,0.6323626831290312,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
P,right,Target,0,5,5,5,3037.464242944494,3039.466129901004,right,1,0.7324672966497019,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
L,left,Distractor,0,6,6,6,3040.9643557063537,3042.965552618087,left,1,0.7049973549437709,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
K,right,Target,0,7,7,7,3044.4649268940557,3046.4664099609945,right,1,0.564525923866313,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
Z,left,Pretarget,0,8,8,8,3047.965198132035,3049.9664271239308,left,1,0.712306825153064,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
S,left,Pretarget,0,9,9,9,3051.464932347706,3053.4666277854703,left,1,0.6519280672655441,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
N,left,Distractor,0,10,10,10,3054.9643916361383,3056.9662785926485,left,1,0.8162957074237056,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
M,left,Distractor,0,11,11,11,3058.4642721374985,3060.4665588130592,left,1,0.8999864942161366,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
Z,right,Target,0,12,12,12,3061.96426010743,3063.965948808356,right,1,0.5365917818853632,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
S,right,Target,0,13,13,13,3065.464336297824,3067.465715745813,right,1,0.684821485017892,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
Q,left,Distractor,0,14,14,14,3068.965021049371,3070.9640839871718,left,1,0.7225083240191452,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
V,left,Lure,0,15,15,15,3072.465007736115,3074.4665530386264,left,1,1.10795078513911,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
Z,right,Target,0,16,16,16,3075.964457079768,3077.9663578307373,right,1,0.4721616174210794,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
X,left,Distractor,0,17,17,17,3079.4649596158415,3081.4665097303805,left,1,0.9561742967925966,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
V,left,Pretarget,0,18,18,18,3082.964252728969,3084.9639893506537,left,1,1.2185279750847258,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
E,left,Distractor,0,19,19,19,3086.464983034355,3088.467331945547,left,1,1.2993280163500458,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
R,left,Distractor,0,20,20,20,3089.964718854055,3091.966461449687,left,1,1.2240839423029684,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
G,left,Distractor,0,21,21,21,3093.4651684578275,3095.466355103883,left,1,0.5721119251684286,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
V,right,Target,0,22,22,22,3096.964228668832,3098.966410763038,left,0,1.0881030954187736,3,2.7800000000000002,G14E11,2021_Oct_18_0829,t1_Paradigm,2021.1.4,59.974199377737186,
