Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,3275.4461868986255,3277.4405754290055,left,1,0.5158371955621988,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
P,left,Pretarget,0,1,1,1,3278.9397678098176,3280.939679589239,left,1,0.648662720574066,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
B,left,Distractor,0,2,2,2,3282.439691940206,3284.439705093042,left,1,0.4924112668959424,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
K,left,Pretarget,0,3,3,3,3285.9397912283894,3287.93969979987,left,1,0.5604857841972262,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
H,left,Distractor,0,4,4,4,3289.4396556895226,3291.439824431436,None,0,,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
P,right,Target,0,5,5,5,3292.940387278679,3294.940308682155,right,1,1.319871088839136,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
L,left,Distractor,0,6,6,6,3296.439860682003,3298.4403460555477,None,0,,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
K,right,Target,0,7,7,7,3299.9398627672344,3301.941909163608,right,1,1.1342713799094781,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
Z,left,Pretarget,0,8,8,8,3303.439825073001,3305.439790426404,left,1,0.8523104324704036,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
S,left,Pretarget,0,9,9,9,3306.93979154923,3308.95304709021,left,1,0.747164992033504,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
N,left,Distractor,0,10,10,10,3310.439702526666,3312.439939599368,left,1,1.1804020741255954,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
M,left,Distractor,0,11,11,11,3313.939825874986,3315.9405319603393,left,1,0.7196398548549041,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
Z,right,Target,0,12,12,12,3317.439859078033,3319.440150687122,right,1,0.9641731471056119,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
S,right,Target,0,13,13,13,3320.939728672034,3322.9400003913324,right,1,1.176182243740186,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
Q,left,Distractor,0,14,14,14,3324.4398148073815,3326.4417027274612,left,1,0.65050219965633,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
V,left,Lure,0,15,15,15,3327.9398101557745,3329.939664511592,left,1,0.6883892432088032,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
Z,right,Target,0,16,16,16,3331.4397131131263,3333.4396059651626,None,0,,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
X,left,Distractor,0,17,17,17,3334.9399140955647,3336.9400414540432,left,1,0.8880201926222071,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
V,left,Pretarget,0,18,18,18,3338.4397066970123,3340.4400679201353,right,0,0.636082467972301,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
E,left,Distractor,0,19,19,19,3341.939764601877,3343.941925524501,left,1,0.6541259795194492,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
R,left,Distractor,0,20,20,20,3345.439937674557,3347.439910727204,left,1,1.1082017215667292,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
G,left,Distractor,0,21,21,21,3348.9397007622756,3350.939880732214,left,1,0.7603165931068361,3,3.0,M28B11,2021_Oct_13_1310,t1_Paradigm,2021.1.4,59.988357127968534,
