Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
0,0,0,0,0,2441.6730208876543,2442.048928314587,EDrightbutton,0,1,1.00,1.00,2,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
1,0,1,1,1,None,2445.877773689339,EDrightbutton,0,1,2.00,1.00,2,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
2,0,2,2,2,None,2449.517228480894,EDleftbutton,1,0,2.00,0.50,2,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
3,0,3,3,3,None,2451.3844522940926,EDleftbutton,1,0,2.00,0.75,2,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
4,0,4,4,4,None,2452.5514117989223,EDrightbutton,0,1,2.00,0.88,2,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
5,0,5,5,5,None,2454.5980438168626,EDleftbutton,1,0,2.00,0.81,2,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
6,0,6,6,6,None,2455.8179881707765,EDleftbutton,1,0,2.00,0.84,2,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
0,0,0,0,0,2456.8141783326864,2457.1655592066236,EDleftbutton,1,0,1.00,1.00,1,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
1,0,1,1,1,None,2463.1988981752656,EDleftbutton,1,0,1.00,2.00,1,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
2,0,2,2,2,None,2464.9409783096053,EDrightbutton,0,1,0.50,2.00,1,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
3,0,3,3,3,None,2466.1980146882124,EDrightbutton,0,1,0.75,2.00,1,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
4,0,4,4,4,None,2467.347906273324,EDrightbutton,0,1,0.88,2.00,1,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
5,0,5,5,5,None,2468.055387651548,EDrightbutton,0,1,0.94,2.00,1,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
6,0,6,6,6,None,2469.66446511331,EDrightbutton,0,1,0.97,2.00,1,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
0,0,0,0,0,2470.6973883232567,2471.0227704860736,EDleftbutton,1,0,1.00,1.00,2,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
1,0,1,1,1,None,2472.6987998497207,EDleftbutton,1,0,1.00,2.00,2,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
2,0,2,2,2,None,2473.564558241982,EDrightbutton,0,1,0.50,2.00,2,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
3,0,3,3,3,None,2474.5477514544036,EDrightbutton,0,1,0.75,2.00,2,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
4,0,4,4,4,None,2474.9645277014934,EDrightbutton,0,1,0.88,2.00,2,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
5,0,5,5,5,None,2477.0981758267153,EDrightbutton,0,1,0.94,2.00,2,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
6,0,6,6,6,None,2478.098851434421,EDrightbutton,0,1,0.97,2.00,2,3,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
0,0,0,0,0,2480.5974573919084,2480.9236354629975,EDrightbutton,0,1,1.00,1.00,1,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
1,0,1,1,1,None,2482.3981665554456,EDrightbutton,0,1,2.00,1.00,1,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
2,0,2,2,2,None,2483.5644514150918,EDleftbutton,1,0,2.00,0.50,1,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
3,0,3,3,3,None,2485.3154899294022,EDleftbutton,1,0,2.00,0.75,1,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
4,0,4,4,4,None,2486.381045061862,EDleftbutton,1,0,2.00,0.88,1,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
5,0,5,5,5,None,2487.0143516939133,EDleftbutton,1,0,2.00,0.94,1,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
6,0,6,6,6,None,2487.514384255279,EDleftbutton,1,0,2.00,0.97,1,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
0,0,0,0,0,2488.180668954272,2488.508526420919,EDleftbutton,1,0,1.00,1.00,3,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
1,0,1,1,1,None,2490.4144728926476,EDrightbutton,0,1,1.00,2.00,3,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
2,0,2,2,2,None,2491.514527332736,EDrightbutton,0,1,1.50,2.00,3,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
3,0,3,3,3,None,2492.247976945713,EDrightbutton,0,1,1.75,2.00,3,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
4,0,4,4,4,None,2492.948067059042,EDrightbutton,0,1,1.88,2.00,3,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
5,0,5,5,5,None,2494.097856629174,EDrightbutton,0,1,1.94,2.00,3,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
6,0,6,6,6,None,2494.8643552067224,EDrightbutton,0,1,1.97,2.00,3,4,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
0,0,0,0,0,2495.4139849536587,2495.750554104103,EDrightbutton,0,1,1.00,1.00,1,2,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
1,0,1,1,1,None,2498.5144487363286,EDrightbutton,0,1,2.00,1.00,1,2,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
2,0,2,2,2,None,2499.314500577748,EDleftbutton,1,0,2.00,0.50,1,2,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
3,0,3,3,3,None,2499.9652126126457,EDleftbutton,1,0,2.00,0.75,1,2,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
4,0,4,4,4,None,2500.5145026310347,EDleftbutton,1,0,2.00,0.88,1,2,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
5,0,5,5,5,None,2501.3311004482675,EDrightbutton,0,1,2.00,0.94,1,2,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
6,0,6,6,6,None,2502.864663817687,EDleftbutton,1,0,2.00,0.91,1,2,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
