Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,117.90449067461304,119.88667689147405,None,0,1,,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
Q,left,Pretarget,0,1,1,1,121.39073807746172,123.38719642953947,left,1,1,0.9779080089647323,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
Q,right,Target,0,2,2,2,124.88399242516607,126.88401038991287,right,1,1,1.0490049861837178,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
T,left,Distractor,0,3,3,3,128.3840018888004,130.38590007089078,left,1,1,0.9229922562371939,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
Q,left,Lure,0,4,4,4,131.88402643008158,133.88601604057476,None,0,1,,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
L,left,Distractor,0,5,5,5,135.38478111545555,137.38521131011657,left,1,1,0.6757464166730642,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
V,left,Pretarget,0,6,6,6,138.8846199128311,140.8884182018228,left,1,1,0.6286874120123684,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
V,right,Target,0,7,7,7,142.38500792207196,144.38426751247607,left,0,1,0.9246148697566241,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
K,left,Distractor,0,8,8,8,145.883499994874,147.88374829525128,left,1,1,0.6092247096821666,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
G,left,Pretarget,0,9,9,9,149.38463483005762,151.38490783213638,left,1,1,0.644004718400538,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
G,right,Target,0,10,10,10,152.8844652865082,154.88434979785234,right,1,1,0.4405572577379644,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
G,right,Target,0,11,11,11,156.38470861432143,158.38402338256128,right,1,1,0.47683990048244596,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
P,left,Pretarget,0,12,12,12,159.8843023192603,161.8872543340549,left,1,1,0.6855905298143625,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
P,right,Target,0,13,13,13,163.3843018382322,165.38387870113365,right,1,1,0.6929615843109787,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
G,left,Lure,0,14,14,14,166.88437193329446,168.89718506345525,left,1,1,0.5876485670451075,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
Y,left,Distractor,0,15,15,15,170.3843124245759,172.3858371938113,left,1,1,0.5550233817193657,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
B,left,Distractor,0,16,16,16,173.88424617913552,175.88605068717152,left,1,1,0.5428242653142661,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
T,left,Pretarget,0,17,17,17,177.38459408818744,179.38606752920896,left,1,1,1.1227514625061303,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
T,right,Target,0,18,18,18,180.883973818738,182.88413774827495,right,1,1,0.5366822008509189,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
S,left,Distractor,0,19,19,19,184.38395954295993,186.38703538710251,left,1,1,0.906389819458127,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
T,left,Lure,0,20,20,20,187.88456216850318,189.8861459651962,left,1,1,0.6067166838329285,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
J,left,Distractor,0,21,21,21,191.38458093535155,193.38750985241495,left,1,1,0.7852657823823392,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
P,left,Distractor,0,22,22,22,194.8838679541368,196.88473796774633,left,1,1,0.8560092365369201,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
F,left,Distractor,0,23,23,23,198.38381357840262,200.38453056965955,left,1,1,0.5082704215310514,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
L,left,Distractor,0,24,24,24,201.88388174865395,203.88361869147047,left,1,1,0.6732342205941677,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
W,left,Pretarget,0,25,25,25,205.3845523840282,207.38645473658107,left,1,1,0.594521737890318,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
W,right,Target,0,26,26,26,208.88387982384302,210.88383266609162,right,1,1,0.5208811259362847,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
V,left,Distractor,0,27,27,27,212.38390532764606,214.38483116053976,left,1,1,0.7479742190334946,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
W,left,Lure,0,28,28,28,215.88370979903266,217.8844460383989,left,1,1,0.7364215177949518,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
R,left,Pretarget,0,29,29,29,219.3845225495752,221.38825026224367,left,1,1,0.5446351892314851,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
R,right,Target,0,30,30,30,222.88380956836045,224.8837925659027,right,1,1,0.5849288126919419,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
G,left,Distractor,0,31,31,31,226.3838074831292,228.3852084230166,left,1,1,0.7318193004466593,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
R,left,Lure,0,32,32,32,229.88378486665897,231.88505171146244,left,1,1,1.1197211723774672,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
S,left,Distractor,0,33,33,33,233.3837798940949,235.38608902296983,left,1,1,0.6111928264144808,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
R,left,Lure,0,34,34,34,236.88431033934467,238.88351860130206,right,0,1,1.0174509566277266,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
P,left,Pretarget,0,35,35,35,240.38489275448956,242.38598347920924,left,1,1,0.6507659293711185,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
P,right,Target,0,36,36,36,243.8841095175594,245.8838339492213,right,1,1,0.6410895958542824,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
Y,left,Pretarget,0,37,37,37,247.384289968526,249.38583302334882,left,1,1,0.850873526185751,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
Y,right,Target,0,38,38,38,250.88375086174347,252.8839343599975,right,1,1,0.856795841595158,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
J,left,Distractor,0,39,39,39,254.38448244938627,256.385911940597,left,1,1,0.6508159744553268,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
Y,left,Lure,0,40,40,40,257.8847848046571,259.8860401008278,left,1,1,0.9746374383103102,S13R12,2021_Sep_15_1015,t1_Paradigm,2021.1.4,60.00510121290471,
