Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,EDbufferscreen.started,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
0,0,0,0,0,2570.346543953521,2570.7206438236753,EDleftbutton,1,0,1.00,1.00,3,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
1,0,1,1,1,None,2582.960889442358,EDleftbutton,1,0,1.00,2.00,3,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
2,0,2,2,2,None,2593.663341876294,EDrightbutton,0,1,0.50,2.00,3,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
3,0,3,3,3,None,2598.3083531348384,EDrightbutton,0,1,0.75,2.00,3,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
4,0,4,4,4,None,2601.899195717706,EDrightbutton,0,1,0.88,2.00,3,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
5,0,5,5,5,None,2604.667043608846,EDrightbutton,0,1,0.94,2.00,3,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
6,0,6,6,6,None,2605.5131501490832,EDrightbutton,0,1,0.97,2.00,3,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
0,0,0,0,0,2606.81258499244,2607.147607668303,EDrightbutton,0,1,1.00,1.00,1,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
1,0,1,1,1,None,2625.8629768679384,EDrightbutton,0,1,2.00,1.00,1,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
2,0,2,2,2,None,2633.812903548649,EDleftbutton,1,0,2.00,0.50,1,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
3,0,3,3,3,None,2636.1461740048253,EDleftbutton,1,0,2.00,0.75,1,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
4,0,4,4,4,None,2640.5296881260583,EDleftbutton,1,0,2.00,0.88,1,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
5,0,5,5,5,None,2641.379695616779,EDleftbutton,1,0,2.00,0.94,1,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
6,0,6,6,6,None,2645.0296128980117,EDleftbutton,1,0,2.00,0.97,1,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
0,0,0,0,0,2646.229022686777,2646.554153758392,EDleftbutton,1,0,1.00,1.00,2,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
1,0,1,1,1,None,2654.479601653933,EDrightbutton,0,1,1.00,2.00,2,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
2,0,2,2,2,None,2656.6630409641657,EDrightbutton,0,1,1.50,2.00,2,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
3,0,3,3,3,None,2661.0296375997714,EDrightbutton,0,1,1.75,2.00,2,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
4,0,4,4,4,None,2664.213161601685,EDrightbutton,0,1,1.88,2.00,2,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
5,0,5,5,5,None,2665.096295733121,EDrightbutton,0,1,1.94,2.00,2,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
6,0,6,6,6,None,2666.3963112278143,EDleftbutton,1,0,1.97,2.00,2,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
0,0,0,0,0,2670.3622581114178,2670.6795654674643,EDleftbutton,1,0,1.00,1.00,1,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
1,0,1,1,1,None,2679.6294629552285,EDrightbutton,0,1,1.00,2.00,1,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
2,0,2,2,2,None,2681.6295829351293,EDrightbutton,0,1,1.50,2.00,1,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
3,0,3,3,3,None,2682.9963059666916,EDrightbutton,0,1,1.75,2.00,1,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
4,0,4,4,4,None,2685.146353653865,EDrightbutton,0,1,1.88,2.00,1,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
5,0,5,5,5,None,2686.1463539747056,EDrightbutton,0,1,1.94,2.00,1,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
6,0,6,6,6,None,2687.2127176119247,EDleftbutton,1,0,1.97,2.00,1,3,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
0,0,0,0,0,2688.845890640572,2689.162424222566,EDleftbutton,1,0,1.00,1.00,2,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
1,0,1,1,1,None,2694.029487143678,EDrightbutton,0,1,1.00,2.00,2,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
2,0,2,2,2,None,2695.0127454575268,EDrightbutton,0,1,1.50,2.00,2,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
3,0,3,3,3,None,2696.09631466039,EDrightbutton,0,1,1.75,2.00,2,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
4,0,4,4,4,None,2697.146298475971,EDrightbutton,0,1,1.88,2.00,2,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
5,0,5,5,5,None,2698.012772725662,EDrightbutton,0,1,1.94,2.00,2,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
6,0,6,6,6,None,2698.846346820821,EDleftbutton,1,0,1.97,2.00,2,4,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
0,0,0,0,0,2699.712138083356,2700.0291971388506,EDleftbutton,1,0,1.00,1.00,1,2,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
1,0,1,1,1,None,2703.012913557701,EDrightbutton,0,1,1.00,2.00,1,2,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
2,0,2,2,2,None,2704.2129569301032,EDrightbutton,0,1,1.50,2.00,1,2,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
3,0,3,3,3,None,2705.896325503534,EDrightbutton,0,1,1.75,2.00,1,2,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
4,0,4,4,4,None,2706.5794935757876,EDrightbutton,0,1,1.88,2.00,1,2,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
5,0,5,5,5,None,2706.996344142128,EDrightbutton,0,1,1.94,2.00,1,2,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
6,0,6,6,6,None,2707.3630091085215,EDleftbutton,1,0,1.97,2.00,1,2,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
