Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,249.6628382173949,251.64594094228232,None,0,1,,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
Q,left,Pretarget,0,1,1,1,253.14761087635998,255.14590068167308,left,1,1,0.8341499344678596,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
Q,right,Target,0,2,2,2,256.64550529338885,258.6454857244971,None,0,1,,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
T,left,Distractor,0,3,3,3,260.1455731429742,262.1454887720756,None,0,1,,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
Q,left,Lure,0,4,4,4,263.64549791492755,265.6454931029002,None,0,1,,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
L,left,Distractor,0,5,5,5,267.14549518813146,269.145538175595,left,1,1,1.3946356797823682,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
V,left,Pretarget,0,6,6,6,270.64551972947083,272.6459964410169,left,1,1,0.6779085259186104,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
V,right,Target,0,7,7,7,274.14559463667683,276.1456055439776,right,1,1,0.8264692965312861,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
K,left,Distractor,0,8,8,8,277.64569584967103,279.6459181653918,left,1,1,0.4463518253178336,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
G,left,Pretarget,0,9,9,9,281.14560393994907,283.14594848116394,left,1,1,0.5462601080653258,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
G,right,Target,0,10,10,10,284.6456249525072,286.64555469685,right,1,1,0.7265934147872031,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
G,right,Target,0,11,11,11,288.1455397795653,290.1459199297824,right,1,1,0.4740280425758101,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
P,left,Pretarget,0,12,12,12,291.645727929892,293.6474147060071,left,1,1,0.44483571575256065,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
P,right,Target,0,13,13,13,295.1456818947918,297.14562254643533,left,0,1,0.8668255277443677,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
G,left,Lure,0,14,14,14,298.6456746767508,300.6455457144184,left,1,1,1.1264940944965929,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
Y,left,Distractor,0,15,15,15,302.14554779964965,304.1475630768691,left,1,1,0.6005070593673736,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
B,left,Distractor,0,16,16,16,305.6625138866948,307.64751800417434,left,1,1,0.9404777830350213,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
T,left,Pretarget,0,17,17,17,309.1455192482681,311.1454887720756,left,1,1,0.4344750992022455,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
T,right,Target,0,18,18,18,312.64550978463376,314.6455149174435,right,1,1,0.6783566860831343,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
S,left,Distractor,0,19,19,19,316.14545380469644,318.1459212129703,left,1,1,0.5060261023463681,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
T,left,Lure,0,20,20,20,319.6454914989299,321.64533526840387,left,1,1,0.6225384473218583,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
J,left,Distractor,0,21,21,21,323.1455397795653,325.14736097172135,left,1,1,0.4326763632125221,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
P,left,Distractor,0,22,22,22,326.6455970426905,328.64556688733865,None,0,1,,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
F,left,Distractor,0,23,23,23,330.14570082211867,332.1470199593459,left,1,1,0.5528814582503401,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
L,left,Distractor,0,24,24,24,333.6456496542087,335.64564644620987,left,1,1,0.5743658790015616,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
W,left,Pretarget,0,25,25,25,337.14562992489664,339.1470254129381,left,1,1,0.5611000808421522,T07L11,2021_Oct_19_1142,t1_Paradigm,2021.1.4,60.00721889545811,
