Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
C02N10            1          -0.7197         0.3306
C02N10            2          -1.0484         0.2412
C02N10            3          -0.0755         0.1828
C02N10            4           0.0214         0.1178
C02N10            5          -0.1191         0.1338
C02N10            6           0.0318        -0.0035
C02N10            7          -0.6776         0.2345
C02N10            8          -0.3670         0.2317
C02N10            9           0.0672         0.2385
C02N10           10           0.0205        -0.0184
C02N10           11          -0.6170         0.0957
C02N10           12          -0.1898         0.0951
C02N10           13          -0.3026         0.6174
C02N10           14           0.1964         0.2348
C02N10           15           0.5834         0.2375
C02N10           16           0.0444        -0.3123
C02N10           17           0.3670         0.2041
C02N10           18           0.8885         0.2440
C02N10           19           2.2942        -0.2542
C02N10           20           0.0094         0.4901
C02N10           21           0.6541         0.0394
C02N10           22          -0.5377        -0.0800
C02N10           23           1.4602        -0.6428
C02N10           24           3.0172         0.1410
C02N10           25           1.2017         0.3690
C02N10           26          -0.0041         0.1285
C02N10           27          -0.1667        -0.0319
C02N10           28           2.1351        -0.2622
C02N10           29           2.0971         0.0679
C02N10           30           1.5739         0.0008
C02N10           31           1.3779         0.2552
C02N10           32           2.1613         0.4420
C02N10           33           1.4136         0.1041
C02N10           34           1.9730         0.1048
C02N10           35           0.5071        -1.0877
C02N10           36           1.9994         1.6572
C02N10           37          -0.1306         0.3063
C02N10           38           2.2443         1.3390
C02N10           39          -2.1351        -0.5074
C02N10           40           3.4576        -2.5025
C02N10           41           0.9867         0.1107
C02N10           42           0.9735        -0.3575
C02N10           43           0.5811        -0.2316
C02N10           44           0.0871        -0.2606
C02N10           45           2.1452         0.2412
C02N10           46           0.9319        -0.3033
C02N10           47           1.0880        -0.0631
C02N10           48           0.4229         0.0131
C02N10           49           0.9005         0.1789
C02N10           50           0.9818         0.3323
C02N10           51           0.4532         0.5024
C02N10           52           0.4520         0.3123
C02N10           53           1.4430         0.4676
C02N10           54           0.2943         0.0398
C02N10           55           0.1901         0.0545
C02N10           56           1.6741         0.2822
C02N10           57           2.0216         0.0491
C02N10           58          -0.4045         0.1139
C02N10           59          -0.2062        -0.1303
C02N10           60           1.7447        -0.0902
C02N10           61           1.4356        -1.1767
C02N10           62           0.4066         0.0532
C02N10           63           1.1163         0.5202
C02N10           64           0.2696         0.2033
C02N10           65           0.3221        -0.0479
C02N10           66           2.0522        -0.0550
C02N10           67           1.2978         0.2563
C02N10           68           1.0299        -0.0894
C02N10           69           1.5784        -0.8895
C02N10           70          -0.0703        -0.2671
C02N10           71          -0.2487         0.1465
C02N10           72          -0.3444         0.1274
C02N10           73           0.4249        -0.1830
C02N10           74           0.5899         0.0543
C02N10           75           0.5150         0.5662
C02N10           76           1.0388        -0.0432
C02N10           77           0.0457         0.5307
C02N10           78           1.2198         0.3434
C02N10           79           1.3598         0.0624
C02N10           80          -0.0618         0.1983
C02N10           81          -0.6503        -0.9611
C02N10           82           1.5149        -1.4635
C02N10           83           0.9294         0.3696
C02N10           84           0.5160         0.2655
C02N10           85           1.1199         0.2962
C02N10           86           0.8006         0.3915
C02N10           87           0.4229        -0.0358
C02N10           88           1.7476         0.4083
C02N10           89           0.6972         0.3892
C02N10           90           1.1200         0.0549
C02N10           91           0.8620        -0.0054
C02N10           92           1.3085        -0.0163
C02N10           93           2.1458         0.3049
C02N10           94           1.5531        -0.1669
C02N10           95           1.4976         0.1518
C02N10           96           0.9687         0.0578
C02N10           97          -0.0358         0.2513
C02N10           98           2.5392         0.2184
C02N10           99           0.3121         0.1259
C02N10          100           1.0499         0.6189
C02N10          101           2.0103        -0.4112
C02N10          102           1.9895         0.4254
C02N10          103           1.0132         0.2959
C02N10          104           3.5640         0.7329
C02N10          105           1.9354         0.2741
C02N10          106           0.8138        -0.2607
C02N10          107           0.1026         0.2264
C02N10          108           1.2152         0.4416
C02N10          109           1.9123         0.1053
C02N10          110           0.8826        -0.1686
C02N10          111          -0.1923        -0.2806
C02N10          112           1.3437         0.4393
C02N10          113           0.7017         0.1708
C02N10          114           2.2870         0.0480
C02N10          115           2.1596         0.1036
C02N10          116           0.2770         0.0033
C02N10          117          -0.1004        -0.3891
C02N10          118           2.2162         0.4406
C02N10          119           2.5464         0.3961
C02N10          120           1.3525         0.1510
