Filename       Segment   T0T6000Corr-ASNM T0T6000Lev-ASNM
D17T06            1           0.4309        -0.1828
D17T06            2           0.3763        -0.2617
D17T06            3           0.0401         0.2611
D17T06            4           0.2132        -0.8022
D17T06            5           0.0352         0.1245
D17T06            6          -0.4411         1.2972
D17T06            7           0.0851        -0.4312
D17T06            8          -0.0850         1.0427
D17T06            9          -0.0451         0.6883
D17T06           10           0.9388         0.1521
D17T06           11          -0.1348         0.7423
D17T06           12          -0.1068         0.7019
D17T06           13           0.1342         2.6082
D17T06           14           0.3282         0.3875
D17T06           15           0.2831         0.2174
D17T06           16          -0.2279         0.1712
D17T06           17          -0.3555         0.2289
D17T06           18           0.0664         0.2669
D17T06           19           1.0648         0.2870
D17T06           20          -0.2605         5.6878
D17T06           21           1.3056         0.1300
D17T06           22           7.7484         1.4177
D17T06           23           1.7426        -0.0201
D17T06           24           0.6870        -0.5583
D17T06           25           4.3149         0.0805
D17T06           26           7.1215         0.9221
D17T06           27          -0.0598         1.1794
D17T06           28           0.3650         0.1645
D17T06           29           4.5574        -0.2764
D17T06           30           3.5335         1.8012
D17T06           31          20.0475         5.2163
D17T06           32           3.8965        -0.5354
D17T06           33           6.0100         0.5397
D17T06           34           5.7916         1.9927
D17T06           35          -1.1272         1.3338
D17T06           36          10.2997        -0.2410
D17T06           37           1.1020         0.7956
D17T06           38           0.1303         1.0913
D17T06           39           1.9891         0.9496
D17T06           40           1.0771         0.3959
D17T06           41           0.4026        -1.5264
D17T06           42           0.5859         0.2813
D17T06           43           0.3334        -0.7848
D17T06           44          -0.4003         0.1136
D17T06           45          -0.2410        -0.0238
D17T06           46           0.9772         0.0776
D17T06           47           1.3667         0.3033
D17T06           48           0.2419         0.2908
D17T06           49          -0.6814         0.0015
D17T06           50           0.1970         0.1645
D17T06           51          -1.1852         0.2870
D17T06           52           0.2941         0.0309
D17T06           53           0.0338         0.1282
D17T06           54           0.8948         0.3363
D17T06           55           1.2857         0.1213
D17T06           56           0.8149        -0.0450
D17T06           57           0.9436         0.7604
D17T06           58          -0.6337        -0.1823
D17T06           59           0.6306         0.0593
D17T06           60           1.2261         0.0294
D17T06           61           0.6442        -2.4490
D17T06           62          -0.0762         0.1894
D17T06           63          -0.2335         0.0371
D17T06           64           0.1751         0.2348
D17T06           65          -0.7440        -0.1491
D17T06           66          -0.4746         0.0669
D17T06           67          -0.3293        -0.6260
D17T06           68          -0.5834        -0.1102
D17T06           69          -0.2590        -0.7187
D17T06           70           0.0800         0.2743
D17T06           71          -2.9323        -4.4179
D17T06           72          -0.6368         0.1279
D17T06           73          -0.5276         0.1625
D17T06           74           0.3122         0.1601
D17T06           75           0.1919         0.1408
D17T06           76           0.1228         0.3070
D17T06           77           0.0669        -0.4128
D17T06           78           0.2711         0.1196
D17T06           79           0.3410        -0.7724
D17T06           80          -0.7359        -0.4325
D17T06           81          -1.5357        -1.4100
D17T06           82           0.3939        -0.0142
D17T06           83           0.6906         0.1491
D17T06           84          -0.2709         0.1526
D17T06           85           0.6659        -1.7164
D17T06           86          -0.2241        -0.0177
D17T06           87           0.2916         0.2994
D17T06           88           0.2650        -0.0007
D17T06           89           0.5809         0.0336
D17T06           90           1.1244         0.7152
D17T06           91           0.5830         0.6948
D17T06           92           1.2362         0.0507
D17T06           93           0.7076        -0.0188
D17T06           94           1.8038        -1.2736
D17T06           95           1.2914         0.3564
D17T06           96           0.2122         0.0350
D17T06           97           1.6665         0.2570
D17T06           98          -0.5607         0.0117
D17T06           99          -0.2849        -0.8317
D17T06          100           0.2987         0.1345
D17T06          101          -3.1964        -5.7326
D17T06          102           0.2246         0.2590
D17T06          103           0.0400         0.1743
D17T06          104           0.0238         0.1462
D17T06          105           0.4669         0.2044
D17T06          106           0.1239         0.1600
D17T06          107          -0.0684         0.1288
D17T06          108           0.0368         0.0381
D17T06          109          -0.1385        -0.0517
D17T06          110           0.3530         0.1113
D17T06          111          -0.2880         0.1135
D17T06          112           0.1538         0.1447
D17T06          113           0.0533         0.0588
D17T06          114          -0.8852         0.0583
D17T06          115           0.0286         0.3279
D17T06          116           0.0055        -0.1164
D17T06          117           0.0207         0.0499
D17T06          118           0.0073        -0.1047
D17T06          119           0.4557        -0.3767
D17T06          120          -0.2361        -0.4469
